maze,wall_1_1_0.1_0.1,wall_2_1_0.2_0.2,wall_2_1_0.4_0.4,wall_2_1_0.6_0.6,wall_4_1_0.1_0.1,columns_1_1_0.1_0.1,columns_2_1_0.2_0.2,columns_2_1_0.4_0.4,columns_2_1_0.6_0.6,columns_4_1_0.1_0.1,board_1_1_0.1_0.1,board_2_1_0.2_0.2,board_2_1_0.4_0.4,board_2_1_0.6_0.6,board_4_1_0.1_0.1
0.1_0.1,36694.0,47391.0,25234.0,47419.0,47777.0,46381.0,47571.0,47293.0,47345.0,47778.0,47414.0,44529.0,27447.0,46413.0,48595.0
0.1_0.2,36960.0,46854.0,41018.0,38800.0,35178.0,47090.0,47267.0,46988.0,47422.0,47644.0,25161.0,43471.0,47497.0,30055.0,34851.0
0.1_0.3,32592.0,47119.0,29102.0,27836.0,30818.0,47424.0,47379.0,46889.0,47134.0,47860.0,31237.0,46877.0,17849.0,45645.0,17919.0
0.1_0.4,33132.0,31708.0,26402.0,41284.0,41702.0,46856.0,47419.0,47088.0,46842.0,48053.0,29673.0,47479.0,47315.0,37629.0,25785.0
0.1_0.5,34168.0,47363.0,47310.0,47194.0,29960.0,47033.0,47473.0,46711.0,47127.0,47902.0,32415.0,29947.0,25993.0,11781.0,31549.0
0.1_0.6,46509.0,46697.0,48731.0,46803.0,49256.0,46586.0,47628.0,46612.0,46723.0,47392.0,47957.0,46901.0,47881.0,47318.0,47525.0
0.1_0.7,47013.0,47151.0,48419.0,46762.0,48830.0,47274.0,47530.0,47728.0,46772.0,49476.0,46864.0,47474.0,46865.0,46292.0,48621.0
0.1_0.8,46922.0,48752.0,47688.0,46017.0,46507.0,46921.0,47541.0,46673.0,46639.0,47020.0,47075.0,47466.0,46869.0,46080.0,47211.0
0.1_0.9,46428.0,47545.0,47659.0,46506.0,46866.0,46767.0,46592.0,47455.0,47251.0,47266.0,47745.0,47907.0,46815.0,46186.0,48540.0
0.2_0.1,35736.0,47590.0,47306.0,47202.0,43158.0,46566.0,47353.0,47419.0,47383.0,47737.0,33123.0,47284.0,27651.0,41743.0,48443.0
0.2_0.2,27566.0,31422.0,20446.0,31024.0,39254.0,46792.0,46527.0,47332.0,47060.0,47907.0,21603.0,30731.0,14975.0,38667.0,33637.0
0.2_0.3,34042.0,47510.0,47055.0,38956.0,37000.0,47073.0,44386.0,47196.0,47050.0,47606.0,31341.0,16625.0,45431.0,21593.0,48818.0
0.2_0.4,28178.0,23914.0,35954.0,47216.0,24472.0,47037.0,47054.0,47286.0,47077.0,47528.0,22635.0,46223.0,40703.0,15501.0,44143.0
0.2_0.5,30406.0,30642.0,14778.0,8614.0,30962.0,47015.0,46539.0,46192.0,30624.0,47453.0,25563.0,28165.0,10533.0,7991.0,13261.0
0.2_0.6,48520.0,47392.0,46941.0,47240.0,46289.0,49445.0,48437.0,49646.0,46776.0,47970.0,46961.0,47777.0,46982.0,44415.0,49109.0
0.2_0.7,49123.0,47227.0,47330.0,49582.0,46046.0,46792.0,47103.0,47069.0,47397.0,47996.0,46981.0,47449.0,49300.0,43115.0,48709.0
0.2_0.8,47614.0,48657.0,46924.0,47013.0,46747.0,45975.0,47144.0,47694.0,48799.0,49572.0,47720.0,46967.0,46948.0,39849.0,48468.0
0.2_0.9,47472.0,49492.0,46892.0,47602.0,46102.0,47097.0,46971.0,48917.0,49124.0,47846.0,46857.0,47600.0,47209.0,39394.0,49096.0
0.3_0.1,32592.0,28410.0,24712.0,46812.0,47172.0,47198.0,47330.0,47179.0,47320.0,47774.0,35221.0,47262.0,41483.0,41465.0,17369.0
0.3_0.2,33336.0,47213.0,21826.0,46952.0,43462.0,47103.0,47388.0,47319.0,47265.0,47640.0,29157.0,47379.0,13535.0,42658.0,32987.0
0.3_0.3,21882.0,42882.0,23722.0,47293.0,8272.0,46897.0,47401.0,46907.0,47073.0,47772.0,20355.0,40289.0,28683.0,16547.0,14427.0
0.3_0.4,27796.0,36326.0,28814.0,30694.0,34206.0,46760.0,47239.0,47005.0,47406.0,47700.0,30763.0,46466.0,20407.0,36793.0,31851.0
0.3_0.5,30060.0,25552.0,11438.0,5782.0,35846.0,47092.0,47399.0,25084.0,25988.0,47830.0,9099.0,9031.0,6387.0,4169.0,4151.0
0.3_0.6,46861.0,47363.0,47647.0,46712.0,48048.0,46168.0,46888.0,47185.0,48649.0,49896.0,47094.0,46319.0,47899.0,39705.0,48242.0
0.3_0.7,49244.0,46405.0,48877.0,49400.0,48761.0,48514.0,47152.0,47560.0,46849.0,47356.0,47394.0,46071.0,47601.0,38505.0,51488.0
0.3_0.8,46657.0,47717.0,48026.0,47592.0,47820.0,46481.0,47040.0,47394.0,46891.0,47050.0,47487.0,44775.0,47302.0,37111.0,48767.0
0.3_0.9,47697.0,47789.0,47147.0,46872.0,47481.0,47603.0,46821.0,47056.0,49583.0,48010.0,47558.0,46410.0,48087.0,35937.0,48378.0
0.4_0.1,47172.0,28008.0,47510.0,47252.0,27354.0,46849.0,47396.0,47214.0,46779.0,47585.0,43927.0,46247.0,39133.0,36625.0,33713.0
0.4_0.2,27868.0,21958.0,40546.0,47300.0,26418.0,46677.0,47470.0,47108.0,46873.0,47753.0,29921.0,23031.0,21633.0,39084.0,31953.0
