maze,wall_1_1_0.1_0.1,wall_2_1_0.2_0.2,wall_2_1_0.4_0.4,wall_2_1_0.6_0.6,wall_4_1_0.1_0.1,columns_1_1_0.1_0.1,columns_2_1_0.2_0.2,columns_2_1_0.4_0.4,columns_2_1_0.6_0.6,columns_4_1_0.1_0.1,board_1_1_0.1_0.1,board_2_1_0.2_0.2,board_2_1_0.4_0.4,board_2_1_0.6_0.6,board_4_1_0.1_0.1
0.1_0.1,83.0,39.0,39.0,39.0,37.0,247.0,279.0,307.0,301.0,261.0,29.0,207.0,163.0,201.0,45.0
0.1_0.2,95.0,37.0,23.0,25.0,61.0,191.0,197.0,185.0,337.0,209.0,207.0,189.0,167.0,179.0,217.0
0.1_0.3,107.0,27.0,35.0,23.0,41.0,203.0,177.0,173.0,321.0,203.0,141.0,195.0,29.0,75.0,203.0
0.1_0.4,55.0,51.0,41.0,43.0,57.0,195.0,193.0,189.0,327.0,185.0,89.0,195.0,117.0,67.0,187.0
0.1_0.5,57.0,35.0,33.0,51.0,29.0,77.0,103.0,105.0,127.0,97.0,57.0,117.0,77.0,107.0,73.0
0.1_0.6,52611.0,43.0,23.0,23.0,47646.0,50093.0,48124.0,48792.0,46799.0,49800.0,48898.0,111.0,121.0,131.0,48237.0
0.1_0.7,47963.0,23.0,23.0,23.0,25.0,52175.0,48868.0,48816.0,46999.0,48362.0,121.0,133.0,47798.0,47849.0,81.0
0.1_0.8,51182.0,48780.0,39.0,23.0,47464.0,48079.0,48409.0,47630.0,48467.0,48612.0,51409.0,249.0,437.0,139.0,51373.0
0.1_0.9,46552.0,23.0,49065.0,23.0,46188.0,47504.0,52386.0,48035.0,79.0,51528.0,47979.0,471.0,1647.0,85.0,181.0
0.2_0.1,43.0,33.0,49.0,49.0,67.0,249.0,223.0,303.0,383.0,227.0,219.0,213.0,195.0,159.0,213.0
0.2_0.2,35.0,23.0,23.0,23.0,39.0,213.0,169.0,303.0,395.0,175.0,217.0,191.0,189.0,149.0,53.0
0.2_0.3,45.0,51.0,43.0,23.0,51.0,209.0,197.0,541.0,301.0,207.0,195.0,155.0,203.0,163.0,659.0
0.2_0.4,59.0,45.0,23.0,23.0,25.0,199.0,181.0,305.0,173.0,181.0,105.0,169.0,41.0,319.0,103.0
