maze,wall_1_1_0.1_0.1,wall_2_1_0.2_0.2,wall_2_1_0.4_0.4,wall_2_1_0.6_0.6,wall_4_1_0.1_0.1,columns_1_1_0.1_0.1,columns_2_1_0.2_0.2,columns_2_1_0.4_0.4,columns_2_1_0.6_0.6,columns_4_1_0.1_0.1,board_1_1_0.1_0.1,board_2_1_0.2_0.2,board_2_1_0.4_0.4,board_2_1_0.6_0.6,board_4_1_0.1_0.1
0.1_0.1,139.0,149.0,143.0,131.0,327.0,229.0,143.0,407.0,415.0,221.0,73.0,57.0,19.0,49.0,21.0
0.1_0.2,237.0,97.0,71.0,73.0,275.0,155.0,157.0,171.0,307.0,175.0,79.0,39.0,83.0,49.0,39.0
0.1_0.3,121.0,29.0,101.0,45.0,123.0,229.0,155.0,155.0,309.0,227.0,35.0,77.0,43.0,53.0,23.0
0.1_0.4,89.0,127.0,69.0,55.0,97.0,169.0,177.0,163.0,139.0,173.0,29.0,59.0,93.0,47.0,79.0
0.1_0.5,89.0,97.0,127.0,179.0,29.0,117.0,79.0,79.0,95.0,121.0,115.0,45.0,105.0,87.0,65.0
0.1_0.6,50595.0,48743.0,48830.0,48272.0,48991.0,49877.0,49152.0,48933.0,48913.0,49202.0,49136.0,48321.0,49296.0,49038.0,49395.0
0.1_0.7,48935.0,48209.0,48658.0,48425.0,51.0,49963.0,49244.0,49278.0,48600.0,48885.0,49325.0,49673.0,47652.0,49244.0,50208.0
0.1_0.8,51017.0,48745.0,48532.0,48363.0,47558.0,47854.0,48378.0,48795.0,49630.0,48795.0,51536.0,49405.0,49314.0,15.0,51904.0
0.1_0.9,48653.0,48057.0,49669.0,131.0,45913.0,48035.0,52406.0,48323.0,67.0,51832.0,48511.0,48736.0,48125.0,15.0,50815.0
0.2_0.1,129.0,271.0,119.0,253.0,147.0,303.0,197.0,305.0,187.0,265.0,67.0,39.0,29.0,49.0,31.0
0.2_0.2,91.0,43.0,35.0,87.0,61.0,231.0,143.0,133.0,283.0,169.0,21.0,71.0,25.0,53.0,33.0
0.2_0.3,87.0,89.0,91.0,67.0,129.0,225.0,201.0,329.0,341.0,219.0,65.0,35.0,35.0,15.0,51.0
0.2_0.4,115.0,57.0,65.0,43.0,49.0,165.0,157.0,165.0,119.0,173.0,57.0,21.0,53.0,47.0,55.0
