maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.5_0.8,67.0,47.0,35.0,17.0,51467.0,31.0,45.0,21.0,21.0,21.0,157.0,99.0,113.0,15.0,125.0
0.5_0.9,23.0,17.0,25.0,17.0,49595.0,45.0,27.0,21.0,21.0,21.0,121.0,55.0,107.0,27.0,179.0
0.6_0.1,93.0,19.0,21.0,17.0,17.0,21.0,35.0,23.0,21.0,21.0,79.0,119.0,57.0,19.0,161.0
0.6_0.2,49.0,27.0,19.0,17.0,27.0,39.0,23.0,25.0,21.0,21.0,149.0,101.0,59.0,109.0,63.0
0.6_0.3,35.0,29.0,29.0,17.0,19.0,49.0,31.0,21.0,21.0,21.0,63.0,27.0,51.0,17.0,89.0
0.6_0.4,25.0,17.0,21.0,17.0,17.0,49.0,21.0,29.0,25.0,21.0,19.0,153.0,53.0,31.0,63.0
0.6_0.5,65.0,21.0,23.0,17.0,21.0,139.0,49.0,31.0,21.0,23.0,141.0,23.0,25.0,15.0,111.0
0.6_0.6,27.0,29.0,17.0,17.0,29.0,85.0,21.0,25.0,21.0,23.0,65.0,165.0,77.0,52273.0,135.0
0.6_0.7,77.0,53.0,29.0,17.0,21.0,95.0,23.0,21.0,21.0,21.0,91.0,33.0,47.0,55.0,183.0
0.6_0.8,91.0,17.0,17.0,17.0,57.0,59.0,31.0,23.0,21.0,31.0,113.0,143.0,15.0,15.0,115.0
0.6_0.9,97.0,169.0,17.0,17.0,17.0,77.0,21.0,21.0,21.0,49286.0,107.0,29.0,131.0,50226.0,205.0
0.7_0.1,93.0,19.0,45.0,17.0,17.0,49.0,25.0,23.0,21.0,21.0,81.0,61.0,41.0,19.0,73.0
0.7_0.2,71.0,33.0,21.0,17.0,25.0,31.0,27.0,23.0,21.0,21.0,39.0,71.0,53.0,29.0,133.0
0.7_0.3,87.0,23.0,29.0,17.0,17.0,27.0,57.0,21.0,21.0,21.0,127.0,83.0,61.0,37.0,175.0
0.7_0.4,113.0,75.0,17.0,17.0,49.0,41.0,25.0,21.0,21.0,29.0,145.0,43.0,27.0,45.0,175.0
0.7_0.5,67.0,19.0,27.0,17.0,21.0,59.0,21.0,21.0,21.0,23.0,85.0,153.0,47.0,107.0,69.0
0.7_0.6,37.0,23.0,29.0,39.0,19.0,41.0,111.0,21.0,21.0,21.0,101.0,85.0,149.0,49218.0,67.0
0.7_0.7,53.0,45.0,19.0,17.0,17.0,61.0,23.0,51520.0,21.0,43.0,41.0,55.0,127.0,48811.0,109.0
0.7_0.8,51.0,27.0,19.0,17.0,17.0,21.0,33.0,21.0,21.0,61.0,127.0,31.0,135.0,21.0,197.0
0.7_0.9,31.0,17.0,17.0,17.0,50443.0,29.0,21.0,21.0,21.0,52128.0,35.0,135.0,51072.0,48796.0,173.0
0.8_0.1,85.0,59.0,17.0,17.0,27.0,51.0,27.0,21.0,21.0,21.0,97.0,171.0,53.0,47.0,81.0
0.8_0.2,103.0,49.0,17.0,21.0,19.0,101.0,23.0,21.0,21.0,23.0,169.0,65.0,29.0,19.0,69.0
0.8_0.3,39.0,37.0,29.0,17.0,27.0,67.0,47.0,21.0,21.0,27.0,147.0,137.0,61.0,17.0,39.0
0.8_0.4,35.0,33.0,23.0,17.0,27.0,67.0,25.0,21.0,21.0,21.0,37.0,55.0,55.0,47.0,65.0
