maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.1_0.1,15561.0,983.0,943.0,2705.0,809.0,17062.0,25018.0,26052.0,26450.0,17246.0,20636.0,6654.0,4618.0,6608.0,6218.0
0.1_0.2,7663.0,885.0,875.0,843.0,913.0,20868.0,20004.0,27036.0,17938.0,15312.0,7800.0,8952.0,12154.0,4166.0,6986.0
0.1_0.3,8359.0,745.0,753.0,775.0,823.0,17430.0,22610.0,23032.0,21758.0,10648.0,4920.0,4494.0,4560.0,9236.0,9288.0
0.1_0.4,11083.0,691.0,649.0,659.0,743.0,30666.0,30128.0,19570.0,17828.0,8438.0,8848.0,10912.0,7314.0,4680.0,6652.0
0.1_0.5,2329.0,861.0,543.0,973.0,843.0,24800.0,21522.0,33638.0,16422.0,17488.0,5460.0,4612.0,6270.0,9448.0,7940.0
0.1_0.6,1047.0,395.0,531.0,419.0,483.0,19258.0,24544.0,16642.0,47770.0,47627.0,11798.0,15540.0,11788.0,47636.0,5302.0
0.1_0.7,709.0,225.0,133.0,131.0,203.0,6330.0,30188.0,47807.0,47803.0,47970.0,8312.0,1906.0,7344.0,47616.0,10924.0
0.1_0.8,317.0,117.0,117.0,117.0,121.0,35760.0,14938.0,47544.0,48113.0,47706.0,8978.0,9058.0,46552.0,47646.0,47894.0
0.1_0.9,1103.0,117.0,117.0,117.0,229.0,25224.0,47340.0,47534.0,47774.0,47592.0,12276.0,7032.0,47735.0,47224.0,47659.0
0.2_0.1,15403.0,1437.0,983.0,1283.0,891.0,22994.0,24412.0,21448.0,28540.0,17208.0,20474.0,5870.0,10474.0,4004.0,9834.0
