maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.1_0.1,44494.0,47986.0,47312.0,47845.0,26478.0,45285.0,47428.0,46897.0,47936.0,47618.0,34277.0,47485.0,46962.0,47358.0,22915.0
0.1_0.2,44409.0,5126.0,42842.0,45632.0,22156.0,46360.0,47179.0,47994.0,47927.0,47772.0,45915.0,46121.0,31677.0,24697.0,29571.0
0.1_0.3,44148.0,47850.0,37744.0,47711.0,5802.0,44896.0,47809.0,46657.0,47736.0,47838.0,6525.0,46021.0,42357.0,47492.0,13709.0
0.1_0.4,45161.0,47438.0,32658.0,42668.0,15712.0,45471.0,47584.0,47506.0,47615.0,47373.0,33935.0,47724.0,43829.0,25391.0,47592.0
0.1_0.5,45249.0,16058.0,11724.0,8016.0,4196.0,45431.0,47748.0,47587.0,47782.0,47666.0,41177.0,43553.0,41273.0,47264.0,47554.0
0.1_0.6,39540.0,14334.0,47378.0,15090.0,12346.0,45446.0,47681.0,47685.0,47706.0,48000.0,11725.0,43603.0,46795.0,38109.0,8591.0
0.1_0.7,43580.0,23100.0,12576.0,24520.0,16020.0,45476.0,47480.0,47806.0,47836.0,47993.0,16223.0,29349.0,46619.0,47377.0,11881.0
0.1_0.8,46659.0,47378.0,49057.0,47836.0,19296.0,46844.0,48411.0,47156.0,47751.0,47616.0,45856.0,18703.0,47002.0,47384.0,47374.0
0.1_0.9,37188.0,47966.0,47633.0,47708.0,21248.0,47558.0,47481.0,45176.0,47644.0,47605.0,9033.0,47528.0,47355.0,47390.0,47433.0
0.2_0.1,45116.0,28548.0,42834.0,47460.0,19778.0,45981.0,47410.0,47509.0,47803.0,47984.0,43522.0,47582.0,43735.0,23185.0,33959.0
0.2_0.2,24658.0,47489.0,39552.0,36028.0,47723.0,45468.0,47319.0,47814.0,47798.0,48055.0,40985.0,47706.0,43547.0,47058.0,40075.0
0.2_0.3,44723.0,45152.0,11776.0,47078.0,26890.0,45220.0,47856.0,47251.0,47688.0,48048.0,45352.0,47455.0,43695.0,17609.0,23035.0
0.2_0.4,44257.0,24076.0,8980.0,20672.0,37268.0,46315.0,47422.0,47300.0,47722.0,48222.0,43447.0,43559.0,33719.0,14583.0,23789.0
0.2_0.5,45190.0,13872.0,14208.0,28460.0,20732.0,45315.0,47775.0,46551.0,47707.0,47816.0,42183.0,12205.0,18869.0,16711.0,37961.0
0.2_0.6,10370.0,10116.0,10280.0,47171.0,18262.0,46431.0,47552.0,47059.0,47772.0,47776.0,39423.0,37381.0,35665.0,47334.0,46488.0
0.2_0.7,45782.0,23760.0,48393.0,47436.0,47811.0,45423.0,47826.0,46658.0,47956.0,47788.0,22583.0,47524.0,47399.0,47252.0,47227.0
0.2_0.8,44882.0,8432.0,47268.0,47497.0,47687.0,47453.0,47898.0,47309.0,47638.0,47739.0,46809.0,47636.0,47298.0,47642.0,46497.0
0.2_0.9,45411.0,47748.0,47281.0,47319.0,47969.0,47107.0,47543.0,46871.0,47722.0,47738.0,4119.0,47228.0,47365.0,47494.0,47206.0
0.3_0.1,30574.0,47804.0,47424.0,47613.0,21850.0,45051.0,47566.0,47125.0,47319.0,48050.0,44134.0,38175.0,31649.0,28059.0,44387.0
0.3_0.2,16698.0,12874.0,13066.0,9140.0,47572.0,45591.0,47184.0,47820.0,47698.0,47693.0,44107.0,47623.0,47306.0,23893.0,38831.0
0.3_0.3,36038.0,9690.0,5374.0,9464.0,24712.0,46961.0,47624.0,47515.0,47833.0,47740.0,45868.0,19893.0,47340.0,47309.0,9405.0
0.3_0.4,44446.0,44308.0,18082.0,25022.0,10132.0,45962.0,47251.0,47700.0,47511.0,47945.0,30851.0,45879.0,42253.0,41109.0,47206.0
