maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.1_0.1,44764.0,26247.0,47528.0,33531.0,29599.0,45102.0,9444.0,9234.0,46992.0,47666.0,43700.0,46033.0,38103.0,24253.0,17105.0
0.1_0.2,45414.0,11371.0,31019.0,9591.0,7569.0,45612.0,46771.0,8388.0,12102.0,48049.0,30681.0,25969.0,20951.0,11457.0,28085.0
0.1_0.3,44547.0,5069.0,4555.0,4783.0,5137.0,45131.0,8324.0,11124.0,4992.0,11506.0,11169.0,13317.0,20771.0,19001.0,11151.0
0.1_0.4,44873.0,5829.0,3561.0,5695.0,10839.0,43534.0,4694.0,5290.0,16336.0,12508.0,6645.0,25889.0,31097.0,15767.0,13799.0
0.1_0.5,46012.0,3953.0,2919.0,7011.0,6685.0,8234.0,4204.0,8656.0,14768.0,13374.0,6141.0,6793.0,32921.0,19717.0,41101.0
0.1_0.6,14629.0,4941.0,3201.0,3339.0,3909.0,45126.0,5272.0,3010.0,9506.0,21534.0,17237.0,15343.0,25927.0,21147.0,12551.0
0.1_0.7,18027.0,3359.0,1337.0,47447.0,47357.0,18188.0,4024.0,47528.0,47177.0,47906.0,9609.0,29531.0,11501.0,47289.0,16517.0
0.1_0.8,33167.0,3729.0,47225.0,49714.0,47507.0,17590.0,6424.0,46832.0,46897.0,47430.0,26957.0,27359.0,47124.0,47437.0,41161.0
0.1_0.9,45207.0,47657.0,47854.0,48291.0,50304.0,19264.0,47083.0,46834.0,46720.0,47554.0,15733.0,46472.0,47513.0,47797.0,39483.0
0.2_0.1,27919.0,15693.0,5031.0,6075.0,10953.0,20424.0,12906.0,10082.0,9244.0,34890.0,44447.0,37203.0,47720.0,32395.0,27253.0
0.2_0.2,13647.0,9095.0,5041.0,7247.0,9403.0,45114.0,11072.0,7134.0,7612.0,15360.0,35215.0,28585.0,14471.0,18979.0,6013.0
0.2_0.3,15533.0,4159.0,5375.0,5583.0,17733.0,26098.0,7694.0,7246.0,7260.0,3958.0,5201.0,16703.0,22891.0,18125.0,13825.0
0.2_0.4,45799.0,3773.0,4833.0,4997.0,4085.0,45665.0,6154.0,6270.0,6450.0,22802.0,5809.0,20283.0,24893.0,12265.0,28721.0
