maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.1_0.1,44887.0,47580.0,47547.0,47394.0,28056.0,44004.0,47823.0,47481.0,47782.0,48080.0,19691.0,41769.0,30243.0,21863.0,19691.0
0.1_0.2,44972.0,32000.0,47654.0,47540.0,43859.0,45590.0,47608.0,47398.0,47793.0,47770.0,45393.0,23609.0,29349.0,26679.0,37872.0
0.1_0.3,44573.0,47944.0,47314.0,47408.0,39974.0,31700.0,47529.0,47831.0,47073.0,47936.0,11741.0,19693.0,25845.0,38845.0,7541.0
0.1_0.4,45352.0,43280.0,47201.0,47340.0,41818.0,42807.0,47357.0,47146.0,47363.0,48053.0,44678.0,17905.0,23019.0,35087.0,11833.0
0.1_0.5,45315.0,47623.0,47166.0,41906.0,34738.0,40631.0,47728.0,47767.0,47261.0,44338.0,27125.0,17759.0,31599.0,32043.0,15515.0
0.1_0.6,36750.0,47656.0,47189.0,21054.0,46446.0,38991.0,47818.0,46640.0,47249.0,47928.0,42833.0,26589.0,37525.0,47540.0,38059.0
0.1_0.7,45102.0,34916.0,47642.0,47379.0,47290.0,42416.0,47478.0,47371.0,47146.0,47814.0,22379.0,10539.0,46491.0,47733.0,37532.0
0.1_0.8,47686.0,47337.0,47244.0,47194.0,47535.0,45899.0,48821.0,47145.0,47256.0,47731.0,20941.0,15811.0,47114.0,47302.0,38113.0
0.1_0.9,37136.0,47704.0,46787.0,47385.0,47614.0,46173.0,47667.0,47005.0,46685.0,47950.0,11645.0,47411.0,47077.0,47204.0,38159.0
0.2_0.1,44964.0,47584.0,47673.0,47848.0,25308.0,44824.0,47600.0,46790.0,47596.0,48121.0,19615.0,28123.0,47616.0,34055.0,34407.0
0.2_0.2,46034.0,47706.0,47401.0,47137.0,47616.0,44908.0,46919.0,47531.0,47050.0,47984.0,45303.0,25429.0,19011.0,34083.0,17345.0
0.2_0.3,45629.0,47651.0,47041.0,47553.0,47772.0,44949.0,47765.0,47242.0,47162.0,47717.0,9613.0,14555.0,42351.0,11977.0,21381.0
0.2_0.4,45886.0,47637.0,47034.0,25778.0,34046.0,45190.0,47451.0,47553.0,47703.0,47708.0,12801.0,24489.0,35539.0,25347.0,23335.0
0.2_0.5,45721.0,20594.0,47051.0,47710.0,39440.0,44362.0,47320.0,47784.0,44812.0,47699.0,19263.0,37181.0,31993.0,26723.0,23875.0
0.2_0.6,33936.0,47371.0,47660.0,47690.0,47643.0,45348.0,47100.0,47465.0,47587.0,48123.0,13467.0,10009.0,47301.0,47437.0,36573.0
0.2_0.7,46685.0,47858.0,47475.0,47796.0,47756.0,44964.0,47780.0,47608.0,47109.0,47744.0,38085.0,47629.0,47438.0,47222.0,36118.0
0.2_0.8,46567.0,47481.0,47021.0,47619.0,47375.0,46343.0,48239.0,47528.0,47428.0,47599.0,13001.0,47273.0,47534.0,47357.0,35518.0
0.2_0.9,46987.0,47595.0,47185.0,47796.0,47511.0,44401.0,47275.0,47041.0,47680.0,47444.0,35953.0,47302.0,47729.0,47526.0,36007.0
0.3_0.1,45401.0,47542.0,46816.0,46976.0,47859.0,37707.0,47868.0,47636.0,47732.0,47916.0,45098.0,25687.0,22455.0,29121.0,11131.0
0.3_0.2,17034.0,47826.0,47555.0,47519.0,47856.0,39304.0,47512.0,47458.0,47660.0,47678.0,43954.0,40601.0,20605.0,17749.0,19849.0
0.3_0.3,46513.0,37594.0,38528.0,47343.0,47602.0,38560.0,47576.0,47439.0,47600.0,47703.0,46011.0,24837.0,32645.0,42867.0,9133.0
0.3_0.4,46088.0,47721.0,47208.0,42260.0,37422.0,44249.0,47193.0,47634.0,47331.0,45456.0,24531.0,20469.0,41695.0,29675.0,14697.0
0.3_0.5,46300.0,36874.0,42992.0,47451.0,43098.0,45579.0,47436.0,41290.0,39312.0,47216.0,25833.0,14771.0,18197.0,30117.0,36239.0
0.3_0.6,45476.0,47301.0,47687.0,47891.0,47869.0,43925.0,47236.0,47280.0,46946.0,47687.0,33799.0,22435.0,47757.0,47509.0,36634.0
0.3_0.7,46621.0,47124.0,47369.0,47090.0,47541.0,45416.0,47340.0,47507.0,47352.0,47863.0,25363.0,47222.0,47397.0,47403.0,36572.0
0.3_0.8,27900.0,47429.0,47381.0,47373.0,47646.0,45477.0,47780.0,47274.0,47254.0,47794.0,12753.0,47214.0,46764.0,47151.0,35568.0
0.3_0.9,47259.0,47784.0,46991.0,47448.0,47585.0,44775.0,47582.0,47540.0,47718.0,47843.0,22705.0,46670.0,47407.0,47193.0,38709.0
0.4_0.1,46538.0,47537.0,47551.0,47321.0,47755.0,44364.0,47921.0,47430.0,47474.0,48005.0,25837.0,27653.0,32693.0,37949.0,11371.0
0.4_0.2,46795.0,47413.0,47633.0,47691.0,43074.0,44927.0,47808.0,47178.0,47300.0,47844.0,26969.0,18987.0,44311.0,14043.0,7483.0
0.4_0.3,45518.0,33428.0,47556.0,47605.0,47809.0,44924.0,47833.0,47027.0,47864.0,48210.0,45024.0,31509.0,28223.0,31685.0,13427.0
0.4_0.4,25050.0,47954.0,32664.0,47682.0,44570.0,45375.0,47757.0,47289.0,47483.0,47788.0,14589.0,34825.0,27675.0,31805.0,19719.0
0.4_0.5,38628.0,31252.0,30434.0,28844.0,47442.0,45363.0,32616.0,46134.0,38202.0,47513.0,36027.0,38211.0,15221.0,29387.0,36498.0
0.4_0.6,23866.0,47697.0,47333.0,47355.0,47706.0,44756.0,47355.0,47374.0,47636.0,47732.0,9123.0,47602.0,46939.0,47484.0,38314.0
0.4_0.7,46222.0,47568.0,47801.0,47244.0,47753.0,45186.0,47502.0,47504.0,47503.0,47579.0,13847.0,46840.0,46981.0,47594.0,38486.0
0.4_0.8,45575.0,46994.0,46940.0,46919.0,47287.0,45061.0,47309.0,47604.0,47427.0,47430.0,15963.0,47274.0,47270.0,47344.0,35865.0
0.4_0.9,47439.0,46016.0,47248.0,47446.0,47536.0,47021.0,47067.0,47581.0,47431.0,47900.0,9959.0,47421.0,47732.0,47333.0,37291.0
0.5_0.1,44770.0,46720.0,47713.0,47356.0,47547.0,44471.0,47785.0,47518.0,47542.0,47882.0,45464.0,32605.0,20691.0,23973.0,23525.0
0.5_0.2,27948.0,47222.0,47170.0,47080.0,47515.0,45834.0,47057.0,47433.0,47779.0,48281.0,32967.0,23441.0,34175.0,14849.0,24021.0
0.5_0.3,45104.0,47706.0,47179.0,46895.0,23812.0,44698.0,47195.0,47341.0,47661.0,47709.0,43565.0,20551.0,30663.0,27539.0,13999.0
0.5_0.4,45034.0,47565.0,46482.0,47025.0,47620.0,44568.0,47574.0,47566.0,47430.0,47925.0,29019.0,34409.0,22491.0,34429.0,10493.0
0.5_0.5,28002.0,45122.0,46712.0,46944.0,47623.0,45128.0,34750.0,29390.0,47269.0,47941.0,20009.0,40517.0,37561.0,40393.0,37179.0
0.5_0.6,46050.0,47525.0,46737.0,46638.0,47580.0,45806.0,47662.0,47108.0,46784.0,47860.0,37595.0,47637.0,47758.0,47585.0,38539.0
0.5_0.7,23102.0,47333.0,47764.0,47036.0,47761.0,45604.0,47577.0,47440.0,47400.0,47654.0,27853.0,46600.0,47534.0,47369.0,40720.0
0.5_0.8,46257.0,47242.0,47046.0,46978.0,47706.0,46507.0,46908.0,47062.0,47508.0,47865.0,43203.0,47091.0,47096.0,47546.0,39740.0
0.5_0.9,47852.0,47464.0,46866.0,47158.0,47828.0,46833.0,47460.0,46969.0,47232.0,47947.0,46398.0,47381.0,47774.0,47396.0,39599.0
0.6_0.1,45674.0,47962.0,47696.0,47690.0,47921.0,28282.0,46073.0,47053.0,47995.0,47944.0,23751.0,18959.0,30503.0,26791.0,25391.0
0.6_0.2,45266.0,47697.0,47672.0,47373.0,47342.0,45334.0,46975.0,47401.0,47801.0,48073.0,44987.0,43963.0,43717.0,30071.0,15509.0
0.6_0.3,44745.0,47323.0,46528.0,22596.0,38440.0,45770.0,47169.0,47663.0,47630.0,47466.0,45667.0,28135.0,37195.0,38349.0,16377.0
0.6_0.4,24752.0,24324.0,47599.0,47627.0,28632.0,45953.0,47743.0,47406.0,47470.0,43712.0,18627.0,38265.0,28229.0,47637.0,19617.0
0.6_0.5,45352.0,15450.0,40818.0,41822.0,47460.0,44512.0,47376.0,47459.0,36464.0,48044.0,27729.0,35585.0,15245.0,47255.0,39102.0
0.6_0.6,45304.0,47842.0,47310.0,47461.0,47877.0,43620.0,47472.0,47571.0,47447.0,48230.0,40893.0,47137.0,47624.0,47182.0,39717.0
0.6_0.7,40798.0,47702.0,47258.0,47459.0,47531.0,26432.0,47347.0,47345.0,47420.0,48079.0,44392.0,47222.0,47620.0,47220.0,37748.0
0.6_0.8,45182.0,47532.0,47054.0,46917.0,47463.0,45252.0,46902.0,47298.0,46958.0,47718.0,42717.0,47318.0,47362.0,47486.0,39069.0
0.6_0.9,47009.0,46893.0,46954.0,47683.0,47660.0,48859.0,47252.0,47029.0,47350.0,47811.0,47515.0,47180.0,47503.0,47638.0,40874.0
0.7_0.1,44465.0,47760.0,47332.0,47629.0,47801.0,45660.0,47455.0,46796.0,47597.0,47921.0,12115.0,26035.0,26327.0,20713.0,18025.0
0.7_0.2,45826.0,30062.0,47473.0,47485.0,47678.0,44873.0,47459.0,47700.0,47655.0,48123.0,44845.0,19161.0,34341.0,23035.0,18567.0
0.7_0.3,45582.0,47061.0,47295.0,42066.0,47480.0,44683.0,47595.0,46147.0,47819.0,47733.0,45372.0,30995.0,28073.0,16213.0,17045.0
0.7_0.4,45588.0,39450.0,28984.0,47441.0,44548.0,44529.0,47300.0,46903.0,47802.0,47513.0,22215.0,23649.0,24357.0,39585.0,16059.0
0.7_0.5,45000.0,29228.0,47537.0,43566.0,47736.0,45452.0,47436.0,47344.0,47804.0,47865.0,11663.0,13101.0,21613.0,34435.0,39882.0
0.7_0.6,44003.0,47673.0,47533.0,47086.0,47613.0,43948.0,47466.0,47753.0,47448.0,47721.0,33227.0,47460.0,47763.0,47651.0,39320.0
0.7_0.7,42526.0,47764.0,47297.0,47674.0,47649.0,46168.0,47664.0,47358.0,47129.0,47785.0,5559.0,47447.0,47425.0,47594.0,38996.0
0.7_0.8,46153.0,47460.0,47178.0,47435.0,47360.0,47007.0,47348.0,47403.0,47734.0,47677.0,36327.0,46848.0,47181.0,47754.0,40547.0
0.7_0.9,48501.0,47624.0,47299.0,47289.0,47760.0,49516.0,47398.0,47369.0,47721.0,47647.0,49409.0,47573.0,47632.0,47248.0,38574.0
0.8_0.1,44625.0,47667.0,47832.0,41478.0,30058.0,44690.0,47328.0,46911.0,47656.0,47560.0,44597.0,26641.0,31249.0,19231.0,17623.0
