maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.1_0.1,139.0,127.0,119.0,139.0,235.0,791.0,455.0,589.0,561.0,525.0,529.0,293.0,361.0,469.0,401.0
0.1_0.2,103.0,315.0,179.0,187.0,193.0,583.0,621.0,475.0,597.0,505.0,227.0,433.0,423.0,227.0,101.0
0.1_0.3,449.0,137.0,85.0,133.0,203.0,503.0,515.0,685.0,595.0,533.0,367.0,227.0,337.0,437.0,237.0
0.1_0.4,465.0,209.0,121.0,159.0,145.0,745.0,491.0,487.0,503.0,353.0,241.0,153.0,287.0,389.0,353.0
0.1_0.5,415.0,369.0,159.0,177.0,197.0,701.0,375.0,461.0,511.0,379.0,125.0,339.0,299.0,395.0,115.0
0.1_0.6,101.0,169.0,181.0,49331.0,381.0,509.0,417.0,407.0,48453.0,431.0,391.0,289.0,229.0,191.0,407.0
0.1_0.7,681.0,131.0,48976.0,49431.0,49829.0,545.0,399.0,813.0,48260.0,48808.0,413.0,283.0,439.0,541.0,183.0
0.1_0.8,127.0,239.0,249.0,49413.0,49775.0,615.0,271.0,359.0,237.0,48752.0,227.0,295.0,553.0,531.0,111.0
0.1_0.9,381.0,547.0,521.0,53.0,50044.0,357.0,555.0,631.0,117.0,48817.0,265.0,475.0,615.0,315.0,41.0
0.2_0.1,345.0,151.0,155.0,161.0,193.0,475.0,461.0,409.0,577.0,529.0,621.0,539.0,283.0,129.0,243.0
0.2_0.2,373.0,103.0,179.0,161.0,323.0,671.0,569.0,585.0,577.0,439.0,259.0,379.0,439.0,405.0,645.0
0.2_0.3,517.0,147.0,139.0,111.0,201.0,701.0,575.0,539.0,639.0,453.0,545.0,197.0,207.0,165.0,227.0
0.2_0.4,589.0,247.0,141.0,141.0,187.0,779.0,703.0,463.0,499.0,333.0,455.0,275.0,279.0,289.0,259.0
0.2_0.5,645.0,93.0,101.0,201.0,173.0,801.0,599.0,353.0,513.0,423.0,525.0,235.0,269.0,393.0,309.0
0.2_0.6,565.0,119.0,175.0,569.0,507.0,681.0,347.0,471.0,47985.0,415.0,279.0,387.0,267.0,191.0,239.0
0.2_0.7,87.0,65.0,49239.0,49540.0,49592.0,567.0,337.0,365.0,48668.0,48960.0,109.0,307.0,501.0,171.0,417.0
0.2_0.8,287.0,613.0,319.0,149.0,49317.0,509.0,621.0,693.0,247.0,48846.0,263.0,435.0,619.0,133.0,213.0
