maze,a_star.npy,dijkstra.npy,bfs.npy
100x100_wall,976.9119491577148,1058.435996055603,976.4160022735596
100x100_columns,816.7999992370605,895.2360486984253,816.4119987487793
100x100_board,636.6680002212524,715.0719995498657,636.3559970855713
