,a_star.npy,dijkstra.npy,bfs.npy
10avg,22.666666666666668,22.666666666666668,22.666666666666668
10min,15,15,15
10max,37,37,37
50avg,113.41666666666667,113.41666666666667,113.41666666666667
50min,80,80,80
50max,196,196,196
100avg,232.25,232.25,232.25
100min,159,159,159
100max,404,404,404
