|['learningRate', 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]|
|['futureStepsRate', 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]|
|['Czas', '0.8131539821624756', '0.4899890422821045', '0.08000063896179199', '0.45301079750061035', '0.1960000991821289', '5.0000011920928955', '5.0009989738464355', '5.000999927520752', '5.000999927520752', '0.6270010471343994', '0.07499933242797852', '0.5610013008117676', '0.28999853134155273', '0.0740060806274414', '5.000987529754639', '5.001000165939331', '5.000011205673218', '5.000000715255737', '1.178011178970337', '0.7589991092681885', '0.07700014114379883', '0.20099973678588867', '0.10499978065490723', '5.000999689102173', '5.0000011920928955', '5.000000953674316', '5.000991344451904', '0.5809991359710693', '0.7620115280151367', '0.42100000381469727', '0.18100237846374512', '0.09398913383483887', '5.000012159347534', '5.000987768173218', '5.000001430511475', '5.000021457672119', '1.353987693786621', '0.3890106678009033', '0.9639894962310791', '0.2850000858306885', '0.09799933433532715', '5.000999927520752', '5.000018358230591', '5.000874280929565', '5.000999689102173', '1.0649900436401367', '0.20499801635742188', '0.37401247024536133', '0.09500002861022949', '0.11998772621154785', '5.0000104904174805', '5.00038480758667', '5.000016212463379', '5.00002384185791', '1.0529906749725342', '0.41001057624816895', '0.7509884834289551', '0.36301088333129883', '0.14800047874450684', '5.000008583068848', '5.000046014785767', '5.00001072883606', '5.000999927520752', '1.6860110759735107', '1.1939997673034668', '0.7069995403289795', '0.09199976921081543', '0.17499852180480957', '5.000999450683594', '5.000999212265015', '5.001000165939331', '5.000000238418579', '0.8539998531341553', '1.2020010948181152', '0.3429992198944092', '0.3559997081756592', '0.16401147842407227', '5.000004291534424', '5.000987768173218', '5.000009059906006', '5.000998258590698']|
|['Dlugosc sciezki', '7828.0', '4720.0', '762.0', '4344.0', '1940.0', '48834.0', '48530.0', '48539.0', '48718.0', '6014.0', '730.0', '5470.0', '2856.0', '722.0', '51701.0', '48517.0', '50543.0', '50562.0', '11530.0', '7482.0', '740.0', '1934.0', '1010.0', '48226.0', '50080.0', '48263.0', '49487.0', '5590.0', '7402.0', '4130.0', '1742.0', '912.0', '48035.0', '48967.0', '48065.0', '47935.0', '12976.0', '3750.0', '9406.0', '2748.0', '960.0', '48306.0', '50067.0', '48194.0', '47758.0', '10228.0', '2010.0', '3584.0', '930.0', '1172.0', '48349.0', '48006.0', '47766.0', '48807.0', '10266.0', '3978.0', '7328.0', '3490.0', '1448.0', '48271.0', '51452.0', '48218.0', '48633.0', '16278.0', '11616.0', '6938.0', '896.0', '1678.0', '49350.0', '48430.0', '48670.0', '48227.0', '8362.0', '11708.0', '3344.0', '3456.0', '1608.0', '49081.0', '48140.0', '48635.0', '48901.0']|
|['Powod', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'MAX_TIME', 'MAX_TIME', 'MAX_TIME', 'MAX_TIME', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'MAX_TIME', 'MAX_TIME', 'MAX_TIME', 'MAX_TIME', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'MAX_TIME', 'MAX_TIME', 'MAX_TIME', 'MAX_TIME', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'MAX_TIME', 'MAX_TIME', 'MAX_TIME', 'MAX_TIME', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'MAX_TIME', 'MAX_TIME', 'MAX_TIME', 'MAX_TIME', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'MAX_TIME', 'MAX_TIME', 'MAX_TIME', 'MAX_TIME', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'MAX_TIME', 'MAX_TIME', 'MAX_TIME', 'MAX_TIME', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'MAX_TIME', 'MAX_TIME', 'MAX_TIME', 'MAX_TIME', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'COMPLETED', 'MAX_TIME', 'MAX_TIME', 'MAX_TIME', 'MAX_TIME']|
