maze,wall_1_2_0.1_0.1,wall_2_2_0.2_0.2,wall_2_2_0.4_0.4,wall_2_2_0.6_0.6,wall_4_2_0.1_0.1,columns_1_2_0.1_0.1,columns_2_2_0.2_0.2,columns_2_2_0.4_0.4,columns_2_2_0.6_0.6,columns_4_2_0.1_0.1,board_1_2_0.1_0.1,board_2_2_0.2_0.2,board_2_2_0.4_0.4,board_2_2_0.6_0.6,board_4_2_0.1_0.1
0.1_0.1,190916773.25513124,56849011.95242882,10960771.241992712,18303851.329295874,1564032.1929717064,217306900.22115707,158801895.23423934,172646116.1118946,182323200.11832714,13465950.502556086,204759131.00143218,179280835.5138309,164152113.2230637,158611218.54883528,2092730.7584869862
0.1_0.2,188136322.61969423,85870361.13646173,40875105.06534147,7024624.240238667,8222848.731632233,217991634.33314395,204529402.6359439,177116000.2980709,135941961.0297029,9079470.025017262,213001736.97393203,164932600.12421608,171646200.09932518,177127903.38125587,884759.6399905682
0.1_0.3,191121200.2008915,10705253.319125175,37055315.00841999,11957619.556873322,9590479.723189116,222700600.12962818,211941900.25548935,167881010.02651596,181099100.10297298,13497958.141928434,216378646.14225268,160486400.18501282,171933200.2000332,106517819.95689178,2322445.764452219
0.1_0.4,178975981.667408,24767239.030478477,8979747.54765606,5055393.276543856,2797075.898928404,227643600.3819704,212165800.04444122,172039713.71833134,177810515.05838633,14003159.916668415,214373986.57534814,154327310.88826084,152703464.48003292,142540672.9349196,514881.7165565491
0.1_0.5,187100636.8689382,23698854.91992545,1436349.5227322578,9566434.6778512,4691659.002580166,226348000.3001213,200527857.6963992,172399285.49497318,182341800.30088425,9663852.170381308,214347404.78326416,155009958.09298563,156725265.6400857,101738596.69701886,3404027.900539875
0.1_0.6,180140579.72411823,56705123.29336715,32664085.9137156,20715600.378108025,12652400.15912056,228157100.30088425,208976231.58370042,177046700.3540039,98364000.1046896,16382700.27153492,212464093.87046862,156751621.76689625,150577997.49716496,153259514.4861188,13711923.48267603
0.1_0.7,185205390.44844794,33601658.8636868,37515100.20279884,16598200.100755692,11873200.141191483,188711101.07721233,213000400.24523735,177675300.27985573,164258200.3720045,14072800.204992294,215583973.8445456,156882704.14869833,154837534.280838,166089674.27091074,11260263.513138533
0.1_0.8,190477400.3995657,47533100.229239464,15703300.300979614,16231300.251317024,14732500.151109695,204306100.0196457,213579200.25894642,175039800.20115376,164502185.5402348,15324200.151824951,208989261.53899622,149962303.23936749,152884987.10006,41352182.214990854,13279050.89826107
0.1_0.9,131548900.39942265,23207200.0426054,20686600.28219223,16851900.138020515,13525900.179815292,221444515.6183586,202814200.1029253,168790205.03381038,91865645.35220766,18706800.272464752,212145712.9343326,145278645.13541913,134162051.07683659,115686577.45390964,17462500.003767014
0.2_0.1,186482300.20143986,112151743.42161512,22408341.133191586,24057496.303060055,11538110.950982332,217533700.11160374,206941856.408875,173889000.29251575,171640387.46668983,13330409.297936916,204965787.1267898,153361480.0677352,163127237.11497092,180705900.29923916,2048402.620550871
0.2_0.2,175446323.04093814,73340199.96126723,41344721.1249454,8958276.401881456,12593483.439665556,213477956.33263206,175856100.1894474,169826700.17502308,175013478.0333979,11817545.104208946,216958311.30081987,156834091.20746374,167838950.04284263,166264052.25212884,710588.3676383495
0.2_0.3,180762088.32207227,29542943.141592264,13508054.806171417,13193675.689872026,2086429.0363006592,207636400.12562275,156977020.6002972,175206800.1197815,179346500.20115376,16034890.585941792,213719257.00871086,148554503.0335374,162818511.41284108,166265577.301929,3326551.0593574047
0.2_0.4,180923535.3491783,84388861.9671042,63081049.30650115,31200625.203211784,2445656.2385721207,225525200.2202034,154875154.33632922,157864003.5797665,166229082.62005758,10003435.232267141,210651977.2537613,150663847.39405394,127086245.9349556,51903416.8080039,4512106.369631767
0.2_0.5,180189313.26491952,65569972.889152765,14385131.811570644,1676758.4929389954,2568367.0755946636,225197000.1437664,157294400.06830692,169775458.97816253,42825400.177931786,4227411.576558113,220209000.14452934,155831172.10181856,163441746.99674702,170094392.11182714,1379765.6418616772
0.2_0.6,188842300.19991398,39645994.948143005,32554800.213766098,20982300.14052391,13313900.212597847,226533600.14309883,158065592.20609617,165710766.54582477,175334482.38745618,14578400.047183037,205809786.3716607,155853330.84270263,163943335.47201562,157843261.25616813,19920400.29170513
0.2_0.7,175020474.43143296,19181300.10933876,23605100.20685196,41258900.0743866,12194300.170660019,213964396.0220213,161864300.02913475,175256100.19686222,156234198.70020413,16442800.17285347,211531853.23534608,158911270.93731475,70649263.43900418,176473772.41292572,18918500.163936615
0.2_0.8,175138901.53089786,94616800.20875931,17451300.240302086,35931100.20329952,12452100.2191782,225050500.24187565,155486745.09956932,174453400.1868248,164711838.3368168,16871000.160694122,207557986.83634806,150359375.91312242,172571600.2011299,159590886.28192592,18438300.25639534
0.2_0.9,153647800.2040863,35696900.22773743,45979100.094652176,20013600.250816345,13415200.262022018,219713900.313735,146905200.3124714,170410398.18034577,164508196.81317282,18711400.299286842,213531765.58177352,128240810.96853757,117126616.2759521,94403425.83799243,20045600.244235992
