maze,wall_1_1_0.1_0.1,wall_2_1_0.2_0.2,wall_2_1_0.4_0.4,wall_2_1_0.6_0.6,wall_4_1_0.1_0.1,columns_1_1_0.1_0.1,columns_2_1_0.2_0.2,columns_2_1_0.4_0.4,columns_2_1_0.6_0.6,columns_4_1_0.1_0.1,board_1_1_0.1_0.1,board_2_1_0.2_0.2,board_2_1_0.4_0.4,board_2_1_0.6_0.6,board_4_1_0.1_0.1
0.1_0.1,1639014.626126051,18852371.016471148,4167000.960029602,19566520.485064983,17084943.738677263,10651641.006256104,19461671.282338858,13544324.584127188,16763820.328913212,19963100.338721275,7905744.465285063,3519747.837981701,956689.3440830708,7152248.873573542,7064584.984675646
0.1_0.2,2673000.7586672306,12549224.146001339,8790611.377023935,4883686.431913137,5914806.866834164,10153660.264469862,14819187.991345882,11685920.047645092,11247324.63506341,16085357.497502565,4729668.665170431,2926223.4483032227,10883753.52887988,11186242.624085665,4209381.217456818
0.1_0.3,3644579.2908816338,18003847.17073989,1251724.0990083218,5016119.743564606,4487873.840067148,11813980.022267342,11851270.25484538,11421252.977297783,12709003.675237179,16314733.349442005,2144811.41802907,353360.0695800781,1921224.158945322,10311167.86181736,6241731.856094122
0.1_0.4,3506486.183013916,7288898.58438468,9524681.662425995,5119275.616751671,4905496.272249222,11035753.978767872,11466668.518420935,16963278.544979095,10654631.807455063,22417509.760212183,2043203.1936130524,5114876.885142565,5961801.259274483,503107.51070666313,2954053.0691063404
0.1_0.5,243240.15538215637,15799914.961479664,12147679.24282074,10363168.71517849,385269.2100470066,9481314.166451216,10198544.98773241,12106230.731142998,5033250.652336121,12243093.520206213,1111708.384286642,5818552.22711277,350738.0941748619,5706280.340326548,1577096.8011775017
0.1_0.6,15566000.116038322,18928800.157618523,16330500.205922127,15269100.22175312,19261400.163054466,15517400.099110603,21371900.19097328,19945300.144267082,15893100.118136406,23565100.053024292,14901100.131177902,17236000.19338131,14400600.10778904,15024100.160622597,12354429.864163399
0.1_0.7,16657600.271821022,16919800.178456306,15457900.092029572,15891300.297904015,19622300.040125847,14496100.198674202,15264400.144648552,14683000.206017494,14727100.23162365,20507900.06725788,14206000.250458717,14385500.002861023,15122800.300574303,13635900.312304497,14665000.101280212
0.1_0.8,16634500.211167336,15974300.087690353,16087500.117135048,14363300.035500526,14859000.160503387,16553300.167536736,14855900.197196007,16178000.101685524,16471900.381159782,16628600.130724907,15055200.351142883,17666500.15616417,15156200.200724602,13422900.288248062,15493400.20122528
0.1_0.9,14909100.175952911,16579400.222730637,16450800.242185593,15590400.12755394,16836500.067043304,15275400.290584564,15698700.257754326,15472900.234723091,15907400.241231918,18171900.077843666,14635500.15141964,15918400.164151192,14556900.195169449,12766100.162792206,14762900.298571587
0.2_0.1,3566047.471549034,17265956.449062586,15614144.649446487,12665085.613934994,10008570.185793877,17348802.18492937,13393248.954416037,10924322.816411495,7101057.189638376,29602400.04518032,1021774.3773114681,4937407.19374156,447330.5720112324,7077750.618322372,8974881.335244656
0.2_0.2,1330318.0854718685,6756652.285564661,851779.0609536171,5246549.96606946,4272817.868126869,8124864.326793909,13531178.125650406,16948640.226980686,12255581.090468645,12079202.404716969,909832.9204165936,1111296.1868810654,2628337.5991921425,5675014.042040825,1061387.969678402
0.2_0.3,548669.1823151112,9786363.471283674,9755056.541090012,7688337.556437731,9445684.558460474,5248097.008177519,11915233.245976925,10331983.746332884,12079797.323245764,13573891.257280827,224809.00792574883,1880284.8966195583,1338310.7248487473,942337.5471820831,5233712.090032339
0.2_0.4,720019.6505689621,2545478.4137370586,3157148.243196726,10677603.542415142,5990450.686771393,9679303.37183714,13670893.195580482,12006074.464240313,11933378.493920565,12011224.055173635,939371.7839810848,380934.66939878464,950040.3679466248,1259146.7700703144,3449631.301967144
0.2_0.5,242800.03290057182,1088275.587003708,1483852.8830139637,722073.5402417183,3736352.261298418,9828065.85572195,9824250.154146433,6826534.251202345,1797878.599383831,11355325.866386175,1274297.1621747017,1243304.8621218204,411319.5639805794,894302.7097790241,3664555.2275025845
0.2_0.6,14640100.163698196,16123300.075483322,14753000.144171715,15455400.317716599,14902100.197982788,14889600.096011162,16051200.168776512,16049900.142240524,15249200.116944313,15656000.331878662,14468000.246167183,14730000.202941895,14322600.102162361,12449400.22804737,15479200.204277039
0.2_0.7,15455400.3221035,16871400.187897682,14727000.067710876,15116600.178217888,16433100.250959396,15936900.191688538,15277300.101709366,14738500.219845772,14761300.180196762,15691100.131845474,14789300.300955772,16302800.165200233,14682400.39870739,12674800.13537407,14481600.176167488
0.2_0.8,15511600.246977806,15579700.093221664,14603500.299596786,15421400.042104721,14676100.03361702,15823300.23920536,16509600.125837326,14617400.195097923,14906600.19915104,17491800.292873383,15756600.185537338,15127800.256419182,14594500.10008812,12566900.2617836,15991700.264811516
0.2_0.9,14515100.10664463,15535100.104355812,14661200.37651062,15807100.088381767,16002400.097584724,15037100.2014637,15135600.11188984,15345400.104999542,16573800.10960102,14598300.246930122,14357800.097680092,14547600.268101692,14644400.204634666,13273900.152897835,14943300.167918205
0.3_0.1,6340653.460580826,9958526.016546488,9687803.544769764,10121187.763241053,18117367.95280361,8597409.375170708,14369912.48340702,9458724.599235058,10829743.921820879,11316180.349170446,1150673.5028455257,6921084.718447924,1477137.122013092,6931320.993190527,5124294.358144283
0.3_0.2,503606.5606658459,6555351.251788378,2730322.3190329075,10596879.767256498,7568888.696571827,5609957.157563686,14438927.521746159,10734737.012450457,11029783.009963036,5507023.621932268,363848.9171242714,5035544.821768999,1817892.507965088,4606092.173814535,2797979.0649750233
0.3_0.3,442268.9872984886,4953817.632330418,4875319.180695772,10891772.891915321,1430417.1842136383,9485061.513052225,9575741.522623777,9945367.82593584,10013425.149005413,15029867.655724049,1710267.2904052734,930029.4524106979,535402.1680428982,2008450.5943193436,1055907.0116245747
0.3_0.4,1898726.7052412033,468825.5945863724,4964671.594260454,5928051.75514555,1560352.7145786285,9474241.608453035,9936886.64135456,11116522.006908655,9885724.51184535,10103670.324509382,562192.4642555714,5186594.227646351,200547.8160727024,588293.0522825718,359335.95032453537
0.3_0.5,160100.56604599953,836886.9741222858,297110.28200912476,204999.03913521767,5223830.573803663,5072031.991582394,5576020.086812496,1095838.4318022728,90085.34269142151,13347958.901970148,348946.1177904606,1148633.665697813,151343.3769340515,674583.6563818455,604931.8427522182
0.3_0.6,14086700.20263195,14615200.136184692,14414300.208902359,14881600.25794506,17148900.26421547,14904200.180149078,14577400.273442268,15981100.179505348,14703800.100755692,16206400.18749237,14586700.157284737,16097100.105834007,14913500.202226639,13496400.19583702,14778900.312829018
0.3_0.7,15422900.127983093,14915000.118756294,15356900.071763992,15743200.179624557,15581800.305318832,15291200.274300575,14940300.189757347,14257200.126862526,14732500.274395943,16757900.191664696,14385900.288748741,14376400.115299225,14232500.301241875,14329300.168418884,15317000.153446198
0.3_0.8,14568700.173473358,14498600.344824791,15080900.277233124,14365800.166916847,15459800.070309639,15681300.194263458,14086200.161099434,15031200.047540665,14210000.141048431,16604900.299787521,15630200.20005703,15396700.15718937,14479000.300836563,13969100.184226036,14656400.102758408
0.3_0.9,14424000.276350975,14370000.22161007,14479000.25472641,15153700.286865234,14850700.288653374,15235000.10228157,14074600.210380554,14556900.180339813,16518000.219535828,15031800.30567646,14394200.13744831,15872200.2109766,14507000.39999485,12535200.171136856,17562900.309586525
0.4_0.1,12108975.569712639,3818193.4229574203,12902407.368533611,11355629.221093416,955215.985875845,10505619.305180311,11019745.219087362,10471620.485503197,13277293.856424809,19146669.82922268,860115.0094370842,941699.4666016102,1251432.0501801968,11886171.64004755,5601906.352348566
