maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.1_0.1,50,30,23,19,10,69,30,26,16,6,101,52,39,32,12
0.1_0.2,62,45,33,26,8,75,53,40,25,8,116,87,70,48,15
0.1_0.3,78,57,51,33,8,105,73,61,33,8,182,117,93,76,16
0.1_0.4,117,89,66,43,8,154,116,88,45,8,228,157,148,109,17
0.1_0.5,164,143,99,58,10,208,163,121,54,8,331,256,217,153,15
0.1_0.6,233,214,138,61,10,306,244,191,69,7,519,396,315,170,18
0.1_0.7,395,345,163,72,7,510,411,308,80,8,210,690,512,229,22
0.1_0.8,861,748,171,72,8,655,946,326,87,8,286,1001,890,246,22
0.1_0.9,256,697,139,74,10,1001,1001,256,76,9,125,1001,706,239,31
0.2_0.1,40,34,24,25,8,58,37,29,23,7,101,66,46,48,18
0.2_0.2,52,45,35,33,8,73,50,42,38,7,124,85,77,63,15
0.2_0.3,70,56,44,49,9,108,72,67,55,7,145,128,104,89,17
0.2_0.4,84,83,66,55,7,100,99,77,70,7,168,147,130,111,31
0.2_0.5,118,107,83,83,13,168,136,113,100,8,266,205,169,180,36
0.2_0.6,189,159,135,117,10,240,206,174,140,15,394,346,290,266,124
0.2_0.7,293,270,217,182,14,395,349,292,236,18,902,671,515,417,284
0.2_0.8,619,529,464,323,13,95,1001,668,451,29,180,497,1001,1001,388
0.2_0.9,764,1001,920,330,17,586,488,543,476,25,564,1001,774,1001,350
0.3_0.1,35,34,23,24,6,51,42,34,27,4,99,71,48,50,18
0.3_0.2,54,59,33,33,6,77,60,40,39,6,122,99,78,64,19
0.3_0.3,73,50,45,44,7,86,66,58,51,7,141,118,82,71,26
0.3_0.4,86,79,69,58,11,112,100,78,69,9,194,161,120,114,43
0.3_0.5,106,97,85,73,14,141,124,102,89,18,232,217,163,144,74
0.3_0.6,150,149,114,105,16,203,179,151,124,30,366,330,241,249,128
0.3_0.7,244,214,185,167,32,319,308,248,209,64,876,726,508,429,260
0.3_0.8,525,470,380,338,46,1001,1001,753,462,148,371,564,968,1001,288
0.3_0.9,602,616,1001,641,69,504,1001,1001,856,195,367,620,1001,1001,262
0.4_0.1,30,35,27,29,8,53,46,42,24,6,82,91,58,48,19
0.4_0.2,45,44,39,33,7,64,67,50,37,7,110,93,66,62,22
0.4_0.3,58,48,44,42,13,85,74,61,61,12,137,108,87,88,31
0.4_0.4,66,66,51,55,17,93,95,74,67,21,168,164,106,108,42
0.4_0.5,104,83,72,68,30,139,116,100,83,36,233,197,150,144,67
0.4_0.6,129,123,100,92,47,193,162,138,105,54,338,323,232,211,113
0.4_0.7,198,191,157,140,81,268,277,209,175,102,892,715,496,444,207
0.4_0.8,447,434,329,313,165,1001,1001,894,514,244,314,860,1001,1001,244
0.4_0.9,61,552,792,879,253,369,842,295,1001,285,261,974,324,1001,209
0.5_0.1,36,43,26,29,6,52,50,42,30,6,112,75,58,52,15
0.5_0.2,48,44,28,34,9,55,47,44,42,7,126,97,77,66,20
0.5_0.3,55,51,36,40,14,57,69,56,50,15,150,116,86,76,30
0.5_0.4,67,61,59,47,20,95,85,70,53,23,180,162,101,90,39
0.5_0.5,87,89,66,52,31,121,112,85,80,35,210,195,143,142,64
0.5_0.6,126,119,99,84,47,173,160,119,110,58,343,314,234,229,101
0.5_0.7,198,178,150,135,78,283,259,208,176,99,904,739,537,486,197
0.5_0.8,434,409,300,273,165,1001,1001,1001,634,253,269,453,1001,1001,159
0.5_0.9,137,813,1001,1001,284,304,471,1001,1001,214,184,1001,1001,1001,163
0.6_0.1,39,24,34,25,6,51,48,34,30,7,108,92,59,53,14
0.6_0.2,42,44,38,31,11,58,62,37,29,11,103,100,72,72,23
0.6_0.3,49,49,35,33,13,71,76,48,46,15,135,128,100,78,29
0.6_0.4,73,66,51,43,24,85,94,69,68,23,162,145,106,96,45
0.6_0.5,91,85,59,60,30,119,112,84,78,36,26,188,141,124,59
0.6_0.6,123,101,82,77,44,163,153,116,104,54,367,333,246,225,95
0.6_0.7,190,171,125,129,70,257,251,210,161,86,783,797,559,485,196
0.6_0.8,413,397,293,259,141,1001,1001,972,566,218,208,183,1001,1001,146
0.6_0.9,346,757,506,1001,235,289,1001,1001,1001,171,174,410,1001,1001,152
0.7_0.1,34,31,28,30,8,47,40,44,29,6,85,80,55,48,15
0.7_0.2,40,33,32,36,10,61,55,42,45,9,107,94,72,76,23
0.7_0.3,53,48,39,38,12,71,65,51,47,16,110,107,90,76,32
0.7_0.4,71,70,46,51,21,97,86,71,66,21,150,163,109,91,40
0.7_0.5,90,82,65,52,26,106,117,79,75,32,208,188,137,126,59
0.7_0.6,112,112,83,80,41,149,137,108,107,46,277,310,239,221,89
0.7_0.7,158,147,132,120,68,259,255,194,175,76,830,892,606,563,210
0.7_0.8,433,416,318,287,131,1001,1001,1001,767,215,195,926,949,1001,151
0.7_0.9,305,1001,1001,1001,211,242,1001,1001,1001,192,194,1001,1001,1001,156
0.8_0.1,44,30,30,35,7,51,43,44,32,7,87,80,54,57,18
0.8_0.2,43,42,34,32,10,63,51,53,41,12,104,102,71,65,21
0.8_0.3,49,49,38,34,15,63,66,52,47,17,124,113,76,76,30
0.8_0.4,60,63,49,44,19,91,85,65,65,22,160,160,111,99,42
0.8_0.5,20,69,64,59,26,107,114,80,75,31,192,196,150,125,54
0.8_0.6,105,97,82,76,38,133,145,116,108,47,276,316,248,205,88
0.8_0.7,143,137,126,115,64,236,232,186,171,76,763,808,587,492,201
0.8_0.8,420,366,309,249,127,1001,1001,1001,830,246,174,1001,1001,1001,128
