maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.1_0.1,187,287,361,888,169,373,362,1001,1001,805,5,165,583,452,147
0.1_0.2,144,91,187,512,170,146,313,280,1001,157,48,215,510,44,105
0.1_0.3,40,163,180,297,129,118,123,195,1001,132,61,32,173,1001,74
0.1_0.4,116,153,127,141,113,62,131,808,735,116,18,194,365,1001,72
0.1_0.5,102,115,686,305,116,89,205,211,1001,107,5,272,221,825,67
0.1_0.6,21,109,333,334,104,60,120,209,1001,103,29,114,96,1001,57
0.1_0.7,109,253,517,1001,113,88,146,383,1001,94,62,187,691,393,72
0.1_0.8,78,88,319,138,83,108,128,389,1001,93,27,124,170,421,40
0.1_0.9,41,115,330,1001,71,105,219,178,1001,74,48,77,188,1001,48
0.2_0.1,137,212,472,732,154,1001,1001,110,809,623,47,152,112,35,74
0.2_0.2,71,91,398,567,87,80,141,531,407,71,44,45,233,1001,59
0.2_0.3,54,57,223,1001,85,47,89,109,1001,79,36,117,187,10,49
0.2_0.4,57,114,117,1001,64,50,144,271,1001,65,36,81,263,235,40
0.2_0.5,58,210,53,1001,65,64,90,275,620,55,34,67,178,586,35
0.2_0.6,51,102,140,154,54,50,127,303,1001,64,18,17,230,1001,35
0.2_0.7,44,130,489,1001,53,55,40,185,450,61,31,52,270,320,28
0.2_0.8,52,192,200,271,49,53,205,190,639,58,19,41,110,1001,30
0.2_0.9,53,114,485,62,48,35,203,349,1001,50,27,114,891,971,27
0.3_0.1,52,233,271,1001,89,176,209,1001,1001,494,40,259,318,900,43
0.3_0.2,32,253,477,466,57,26,44,430,944,65,18,45,238,1001,35
0.3_0.3,48,253,815,1001,54,50,175,66,943,42,30,47,182,801,31
0.3_0.4,47,194,870,898,48,15,93,318,565,45,17,22,106,667,28
0.3_0.5,31,71,92,714,41,46,210,565,480,44,24,149,224,560,23
0.3_0.6,14,58,288,944,43,46,144,128,321,37,16,107,416,1001,29
0.3_0.7,43,26,74,1001,35,42,91,643,1001,41,24,73,338,256,21
