maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.5_0.8,43.0,25.0,61.0,61.0,23.0,25.0,35.0,57.0,77.0,25.0,15.0,21.0,27.0,35.0,15.0
0.5_0.9,23.0,29.0,45.0,55.0,23.0,25.0,29.0,37.0,73.0,25.0,15.0,21.0,35.0,47.0,15.0
0.6_0.1,23.0,43.0,51.0,71.0,37.0,35.0,51.0,69.0,113.0,73.0,15.0,21.0,27.0,27.0,15.0
0.6_0.2,23.0,27.0,41.0,59.0,23.0,25.0,33.0,39.0,63.0,25.0,15.0,21.0,25.0,47.0,15.0
0.6_0.3,23.0,29.0,49.0,61.0,23.0,27.0,31.0,49.0,71.0,25.0,15.0,17.0,19.0,37.0,15.0
0.6_0.4,23.0,29.0,43.0,43.0,23.0,25.0,31.0,37.0,89.0,25.0,15.0,17.0,21.0,63.0,15.0
0.6_0.5,23.0,27.0,37.0,59.0,23.0,53.0,61.0,49.0,57.0,25.0,15.0,17.0,23.0,29.0,15.0
0.6_0.6,23.0,31.0,35.0,61.0,23.0,49.0,27.0,61.0,61.0,25.0,21.0,27.0,21.0,41.0,15.0
0.6_0.7,23.0,29.0,35.0,87.0,23.0,25.0,39.0,37.0,91.0,25.0,15.0,21.0,23.0,49.0,15.0
0.6_0.8,23.0,31.0,57.0,65.0,25.0,29.0,35.0,55.0,95.0,25.0,15.0,17.0,25.0,49.0,15.0
0.6_0.9,23.0,27.0,33.0,55.0,23.0,25.0,31.0,37.0,69.0,25.0,15.0,17.0,25.0,21.0,15.0
0.7_0.1,23.0,29.0,37.0,55.0,35.0,33.0,33.0,75.0,87.0,97.0,15.0,19.0,21.0,47.0,15.0
