maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.8_0.8,122,135,1001,1001,96,83,1001,1001,1001,71,43,207,1001,1001,63
0.8_0.9,129,258,439,1001,82,108,1001,1001,1001,71,82,1001,1001,1001,57
0.9_0.1,216,191,169,149,31,315,232,238,188,38,485,358,355,327,77
0.9_0.2,238,195,206,190,37,378,302,260,234,52,606,506,458,426,120
0.9_0.3,283,261,224,213,47,452,386,354,299,74,917,702,640,669,212
0.9_0.4,388,352,312,259,63,675,547,472,385,100,1001,1001,1001,1001,404
0.9_0.5,634,568,458,460,99,1001,1001,824,680,217,1001,1001,1001,1001,1001
0.9_0.6,1001,1001,1001,953,272,1001,1001,1001,1001,971,90,315,352,1001,97
0.9_0.7,66,514,1001,1001,513,106,1000,335,1001,68,83,711,1001,1001,59
0.9_0.8,61,385,1001,1001,90,108,534,1001,1001,63,32,183,317,1001,56
0.9_0.9,120,503,1001,1001,73,96,282,530,543,71,76,292,269,1001,51
