maze,wall_1_2_0.1_0.1,wall_2_2_0.2_0.2,wall_2_2_0.4_0.4,wall_2_2_0.6_0.6,wall_4_2_0.1_0.1,columns_1_2_0.1_0.1,columns_2_2_0.2_0.2,columns_2_2_0.4_0.4,columns_2_2_0.6_0.6,columns_4_2_0.1_0.1,board_1_2_0.1_0.1,board_2_2_0.2_0.2,board_2_2_0.4_0.4,board_2_2_0.6_0.6,board_4_2_0.1_0.1
0.1_0.1,6436.0,1028.0,2248.0,2730.0,2768.0,9094.0,1676.0,2934.0,12804.0,5034.0,16296.0,11430.0,13892.0,3072.0,5098.0
0.1_0.2,9034.0,4244.0,2650.0,4288.0,2858.0,11962.0,5352.0,21450.0,19656.0,7426.0,13518.0,5398.0,13488.0,5454.0,3624.0
0.1_0.3,21606.0,3054.0,2418.0,4074.0,516.0,9800.0,23642.0,20306.0,2830.0,4732.0,10434.0,17196.0,9484.0,1928.0,4210.0
0.1_0.4,14666.0,2960.0,2348.0,2586.0,1212.0,34530.0,18814.0,22544.0,8712.0,6112.0,7700.0,16412.0,14666.0,8880.0,7330.0
0.1_0.5,16786.0,2930.0,2254.0,3210.0,896.0,7674.0,2958.0,8814.0,11814.0,11408.0,19734.0,8988.0,10256.0,1460.0,2984.0
0.1_0.6,6982.0,2490.0,52051.0,47250.0,46515.0,21132.0,5644.0,8832.0,10082.0,47185.0,1916.0,4284.0,964.0,3074.0,49595.0
0.1_0.7,6028.0,50754.0,47902.0,48868.0,50241.0,31356.0,9096.0,6374.0,5714.0,47870.0,790.0,4416.0,1110.0,6458.0,48910.0
0.1_0.8,9106.0,47827.0,47229.0,48197.0,48518.0,9344.0,25070.0,16802.0,12156.0,50267.0,1486.0,3968.0,11298.0,3232.0,48497.0
0.1_0.9,48475.0,49229.0,49068.0,48511.0,48589.0,7404.0,4516.0,3694.0,47592.0,48449.0,11516.0,1942.0,3750.0,4034.0,49672.0
0.2_0.1,7292.0,4782.0,3842.0,3312.0,2510.0,3554.0,8988.0,14328.0,2472.0,6478.0,1386.0,14874.0,2722.0,1474.0,2764.0
0.2_0.2,26216.0,4306.0,2448.0,3948.0,900.0,10878.0,6916.0,11744.0,18560.0,5224.0,6744.0,2996.0,13422.0,1382.0,2726.0
0.2_0.3,4378.0,2994.0,2440.0,3974.0,1402.0,7620.0,3028.0,6938.0,9610.0,5784.0,1918.0,18540.0,11208.0,3546.0,3944.0
0.2_0.4,15650.0,6602.0,3570.0,4308.0,2356.0,19438.0,2932.0,25708.0,15970.0,6976.0,1464.0,1338.0,11114.0,3318.0,2266.0
0.2_0.5,1410.0,2816.0,3606.0,1424.0,434.0,8542.0,12396.0,9380.0,3762.0,20082.0,18298.0,1940.0,15530.0,2406.0,14056.0
0.2_0.6,12782.0,1934.0,50797.0,48103.0,41037.0,4392.0,17082.0,7954.0,8466.0,48109.0,17522.0,16088.0,3014.0,3796.0,51044.0
0.2_0.7,3686.0,52382.0,48831.0,47667.0,45516.0,3090.0,3530.0,4624.0,7114.0,49200.0,3326.0,6212.0,1308.0,2252.0,49971.0
0.2_0.8,18266.0,50092.0,47121.0,50245.0,46797.0,6366.0,26914.0,5616.0,14318.0,48719.0,8116.0,5368.0,8330.0,1818.0,48238.0
0.2_0.9,49476.0,48881.0,48309.0,51646.0,44282.0,2948.0,6314.0,7124.0,47010.0,46767.0,7204.0,4710.0,2140.0,47941.0,50883.0
0.3_0.1,6764.0,5074.0,2566.0,3118.0,772.0,4188.0,12082.0,13296.0,4320.0,8406.0,12060.0,2242.0,4902.0,1358.0,6436.0
0.3_0.2,19018.0,9398.0,12054.0,2206.0,422.0,5856.0,4932.0,21532.0,4082.0,10610.0,3728.0,36586.0,3100.0,7696.0,2446.0
0.3_0.3,11412.0,2674.0,5900.0,3974.0,736.0,24204.0,8062.0,27106.0,4650.0,11376.0,26020.0,3598.0,13204.0,9298.0,944.0
0.3_0.4,10972.0,4942.0,2640.0,2126.0,412.0,5314.0,13648.0,16880.0,5702.0,7590.0,2688.0,17582.0,26090.0,12418.0,2906.0
0.3_0.5,3946.0,1604.0,2998.0,1034.0,562.0,5254.0,15436.0,20932.0,16748.0,22784.0,3408.0,10662.0,4396.0,2336.0,3906.0
0.3_0.6,15268.0,48385.0,52409.0,50908.0,38808.0,12776.0,8372.0,11738.0,3272.0,47695.0,16978.0,16996.0,1384.0,3834.0,49637.0
0.3_0.7,2602.0,49656.0,48616.0,47586.0,44470.0,22780.0,14642.0,14538.0,16530.0,49194.0,13238.0,13072.0,8024.0,7194.0,48017.0
0.3_0.8,12916.0,50165.0,48888.0,50428.0,42975.0,3640.0,18440.0,12960.0,18316.0,47905.0,8112.0,8392.0,1322.0,1288.0,48359.0
0.3_0.9,50498.0,49546.0,52071.0,49408.0,43853.0,18280.0,25246.0,10546.0,47060.0,48832.0,13058.0,2348.0,5324.0,6032.0,48474.0
0.4_0.1,4060.0,4108.0,7202.0,10978.0,1918.0,21804.0,14264.0,21308.0,23948.0,8474.0,20688.0,3902.0,5900.0,8024.0,3192.0
0.4_0.2,20508.0,5254.0,3794.0,4652.0,1088.0,12822.0,13676.0,16190.0,5892.0,7200.0,19886.0,2322.0,12506.0,3784.0,5744.0
0.4_0.3,4660.0,8560.0,788.0,3804.0,488.0,32326.0,12046.0,4014.0,14512.0,8750.0,1976.0,12920.0,2844.0,9940.0,7626.0
0.4_0.4,22064.0,1538.0,2298.0,3220.0,480.0,10336.0,6524.0,38324.0,12204.0,7478.0,17640.0,4784.0,1764.0,2318.0,3442.0
0.4_0.5,15836.0,2124.0,2506.0,3820.0,668.0,18102.0,6856.0,27744.0,17798.0,24282.0,10222.0,2814.0,6596.0,1048.0,12118.0
