maze,wall_1_2_0.1_0.1,wall_2_2_0.2_0.2,wall_2_2_0.4_0.4,wall_2_2_0.6_0.6,wall_4_2_0.1_0.1,columns_1_2_0.1_0.1,columns_2_2_0.2_0.2,columns_2_2_0.4_0.4,columns_2_2_0.6_0.6,columns_4_2_0.1_0.1,board_1_2_0.1_0.1,board_2_2_0.2_0.2,board_2_2_0.4_0.4,board_2_2_0.6_0.6,board_4_2_0.1_0.1
0.5_0.7,51416.0,17.0,52457.0,17.0,51506.0,543.0,52246.0,21.0,21.0,49550.0,31.0,87.0,52885.0,49523.0,119.0
0.5_0.8,17.0,17.0,17.0,17.0,51259.0,561.0,48306.0,21.0,21.0,47932.0,121.0,39.0,149.0,49649.0,115.0
0.5_0.9,50488.0,52572.0,17.0,17.0,17.0,47856.0,51499.0,21.0,21.0,49438.0,50023.0,48989.0,52432.0,51095.0,195.0
0.6_0.1,21.0,17.0,17.0,17.0,19.0,729.0,189.0,179.0,171.0,163.0,375.0,107.0,37.0,29.0,65.0
0.6_0.2,25.0,17.0,17.0,17.0,21.0,367.0,199.0,369.0,175.0,295.0,657.0,45.0,57.0,21.0,55.0
0.6_0.3,21.0,17.0,17.0,17.0,21.0,827.0,433.0,313.0,409.0,461.0,159.0,55.0,53.0,51.0,107.0
0.6_0.4,23.0,17.0,17.0,19.0,17.0,761.0,491.0,143.0,211.0,421.0,455.0,43.0,53.0,21.0,133.0
0.6_0.5,17.0,17.0,21.0,17.0,17.0,651.0,365.0,197.0,203.0,165.0,57.0,71.0,27.0,23.0,71.0
0.6_0.6,47584.0,17.0,17.0,17.0,17.0,335.0,49960.0,157.0,143.0,393.0,87.0,105.0,21.0,49507.0,123.0
0.6_0.7,17.0,49841.0,17.0,19.0,52447.0,221.0,51879.0,21.0,21.0,49632.0,91.0,125.0,125.0,50326.0,149.0
0.6_0.8,48457.0,51992.0,17.0,17.0,52256.0,203.0,48344.0,21.0,21.0,21.0,33.0,50193.0,221.0,15.0,101.0
0.6_0.9,17.0,50920.0,19.0,17.0,50488.0,51901.0,50523.0,21.0,21.0,21.0,113.0,52350.0,50014.0,49178.0,185.0
0.7_0.1,17.0,17.0,19.0,17.0,27.0,441.0,373.0,463.0,157.0,331.0,177.0,57.0,73.0,17.0,57.0
0.7_0.2,17.0,17.0,17.0,17.0,21.0,545.0,377.0,305.0,295.0,419.0,73.0,81.0,29.0,27.0,157.0
0.7_0.3,25.0,17.0,17.0,17.0,21.0,489.0,493.0,313.0,331.0,441.0,255.0,63.0,75.0,15.0,131.0
0.7_0.4,21.0,21.0,17.0,17.0,17.0,421.0,301.0,201.0,133.0,249.0,101.0,33.0,43.0,21.0,103.0
0.7_0.5,17.0,17.0,19.0,17.0,19.0,661.0,355.0,199.0,203.0,275.0,143.0,113.0,65.0,27.0,153.0
0.7_0.6,17.0,17.0,17.0,17.0,52189.0,669.0,48128.0,133.0,161.0,127.0,101.0,83.0,83.0,49396.0,183.0
0.7_0.7,17.0,52431.0,17.0,17.0,50450.0,335.0,47777.0,21.0,21.0,49189.0,107.0,135.0,15.0,52398.0,95.0
0.7_0.8,51403.0,17.0,17.0,17.0,17.0,48328.0,46732.0,21.0,21.0,21.0,95.0,50439.0,49536.0,52484.0,175.0
0.7_0.9,17.0,19.0,17.0,17.0,17.0,49533.0,21.0,25.0,21.0,21.0,48320.0,51237.0,52620.0,50813.0,179.0
0.8_0.1,27.0,19.0,17.0,17.0,17.0,353.0,315.0,307.0,385.0,305.0,187.0,85.0,37.0,17.0,119.0
0.8_0.2,17.0,17.0,17.0,17.0,23.0,493.0,275.0,177.0,163.0,309.0,115.0,39.0,49.0,25.0,123.0
0.8_0.3,17.0,17.0,17.0,17.0,17.0,373.0,299.0,401.0,459.0,411.0,279.0,57.0,53.0,17.0,123.0
0.8_0.4,17.0,17.0,17.0,17.0,23.0,963.0,439.0,421.0,135.0,133.0,601.0,85.0,15.0,39.0,109.0
0.8_0.5,17.0,17.0,17.0,17.0,19.0,879.0,421.0,197.0,195.0,207.0,137.0,31.0,55.0,21.0,121.0
0.8_0.6,49615.0,50517.0,17.0,17.0,17.0,399.0,49330.0,139.0,167.0,145.0,109.0,101.0,117.0,51297.0,109.0
0.8_0.7,52616.0,51524.0,17.0,17.0,17.0,627.0,48187.0,21.0,21.0,21.0,191.0,49189.0,97.0,50813.0,259.0
0.8_0.8,17.0,50241.0,52348.0,17.0,17.0,787.0,52508.0,21.0,21.0,21.0,51545.0,48588.0,181.0,52457.0,51618.0
0.8_0.9,51284.0,17.0,17.0,17.0,17.0,47013.0,48743.0,23.0,21.0,23.0,50590.0,50380.0,15.0,48969.0,49071.0
0.9_0.1,27.0,17.0,17.0,19.0,17.0,327.0,345.0,185.0,297.0,329.0,535.0,29.0,61.0,31.0,105.0
0.9_0.2,25.0,19.0,17.0,17.0,17.0,183.0,409.0,315.0,441.0,185.0,71.0,67.0,37.0,19.0,79.0
0.9_0.3,17.0,17.0,17.0,17.0,17.0,547.0,409.0,387.0,551.0,425.0,57.0,19.0,41.0,15.0,65.0
0.9_0.4,17.0,17.0,17.0,17.0,17.0,793.0,503.0,473.0,213.0,345.0,491.0,39.0,55.0,15.0,77.0
0.9_0.5,21.0,17.0,17.0,17.0,17.0,939.0,359.0,203.0,191.0,215.0,125.0,75.0,75.0,25.0,179.0
0.9_0.6,17.0,19.0,17.0,17.0,17.0,927.0,49344.0,145.0,155.0,151.0,25.0,145.0,49316.0,50949.0,239.0
0.9_0.7,17.0,17.0,19.0,17.0,51336.0,47077.0,49915.0,21.0,21.0,21.0,48419.0,49165.0,48899.0,50128.0,51.0
0.9_0.8,19.0,17.0,17.0,17.0,19.0,46834.0,48403.0,21.0,21.0,21.0,103.0,52971.0,15.0,52359.0,52039.0
0.9_0.9,17.0,17.0,17.0,17.0,17.0,48019.0,48241.0,21.0,21.0,21.0,50871.0,51331.0,15.0,49274.0,159.0
