maze,wall_1_2_0.1_0.1,wall_2_2_0.2_0.2,wall_2_2_0.4_0.4,wall_2_2_0.6_0.6,wall_4_2_0.1_0.1,columns_1_2_0.1_0.1,columns_2_2_0.2_0.2,columns_2_2_0.4_0.4,columns_2_2_0.6_0.6,columns_4_2_0.1_0.1,board_1_2_0.1_0.1,board_2_2_0.2_0.2,board_2_2_0.4_0.4,board_2_2_0.6_0.6,board_4_2_0.1_0.1
0.1_0.1,117.0,113.0,113.0,109.0,153.0,357.0,245.0,223.0,207.0,231.0,301.0,207.0,165.0,119.0,143.0
0.1_0.2,169.0,93.0,65.0,127.0,99.0,807.0,377.0,203.0,397.0,405.0,165.0,207.0,141.0,137.0,41.0
0.1_0.3,75.0,65.0,47.0,49.0,103.0,471.0,385.0,541.0,523.0,557.0,103.0,149.0,143.0,121.0,163.0
0.1_0.4,51.0,101.0,37.0,43.0,103.0,405.0,331.0,403.0,237.0,393.0,557.0,183.0,181.0,223.0,213.0
0.1_0.5,121.0,67.0,93.0,173.0,79.0,805.0,339.0,207.0,199.0,241.0,67.0,217.0,259.0,339.0,235.0
0.1_0.6,49264.0,49152.0,52683.0,48688.0,805.0,585.0,50428.0,48882.0,48900.0,48179.0,113.0,47454.0,48064.0,48664.0,48199.0
0.1_0.7,50876.0,48834.0,49574.0,48791.0,48919.0,397.0,51314.0,49343.0,48628.0,52509.0,47476.0,47862.0,48258.0,48747.0,52722.0
0.1_0.8,52469.0,48640.0,48873.0,49422.0,49904.0,347.0,49941.0,49306.0,49079.0,49470.0,49589.0,47869.0,47968.0,81.0,48631.0
0.1_0.9,48465.0,48920.0,48475.0,123.0,49741.0,50312.0,48622.0,47951.0,63.0,48910.0,63.0,47562.0,48502.0,85.0,49213.0
0.2_0.1,111.0,101.0,99.0,127.0,569.0,263.0,255.0,191.0,217.0,235.0,357.0,179.0,155.0,127.0,127.0
0.2_0.2,43.0,93.0,77.0,65.0,261.0,661.0,371.0,363.0,521.0,491.0,577.0,161.0,127.0,183.0,147.0
0.2_0.3,79.0,93.0,65.0,51.0,137.0,457.0,417.0,499.0,401.0,489.0,509.0,147.0,177.0,193.0,149.0
0.2_0.4,91.0,49.0,107.0,37.0,145.0,647.0,295.0,135.0,237.0,453.0,131.0,161.0,213.0,219.0,173.0
0.2_0.5,65.0,95.0,97.0,169.0,151.0,281.0,387.0,211.0,225.0,221.0,97.0,213.0,353.0,365.0,243.0
0.2_0.6,47560.0,50351.0,47871.0,48729.0,49624.0,361.0,50957.0,48282.0,48091.0,48285.0,103.0,47927.0,48423.0,48428.0,48601.0
0.2_0.7,48725.0,49049.0,49288.0,48553.0,48820.0,371.0,51112.0,48710.0,49180.0,48028.0,51132.0,48119.0,48079.0,48671.0,49290.0
0.2_0.8,50982.0,50409.0,48584.0,48677.0,48846.0,589.0,50372.0,49320.0,48697.0,48769.0,48325.0,48215.0,47616.0,71.0,50064.0
0.2_0.9,813.0,48774.0,48527.0,49031.0,47533.0,48642.0,48827.0,48573.0,79.0,49055.0,48550.0,48410.0,48220.0,407.0,48947.0
0.3_0.1,303.0,111.0,95.0,29.0,107.0,493.0,471.0,465.0,105.0,277.0,159.0,91.0,137.0,137.0,157.0
0.3_0.2,97.0,107.0,117.0,71.0,37.0,483.0,615.0,411.0,525.0,405.0,247.0,165.0,129.0,161.0,151.0
0.3_0.3,129.0,107.0,41.0,63.0,39.0,473.0,559.0,525.0,373.0,431.0,155.0,157.0,183.0,189.0,185.0
0.3_0.4,111.0,41.0,37.0,53.0,97.0,555.0,437.0,135.0,155.0,407.0,881.0,207.0,187.0,211.0,189.0
0.3_0.5,103.0,173.0,91.0,179.0,165.0,627.0,311.0,203.0,211.0,201.0,173.0,227.0,359.0,357.0,267.0
0.3_0.6,49661.0,48915.0,48724.0,48500.0,48846.0,585.0,48770.0,48609.0,49142.0,48554.0,49.0,48109.0,48037.0,48611.0,48668.0
0.3_0.7,47922.0,49508.0,48507.0,48574.0,49689.0,461.0,47547.0,48998.0,49334.0,48354.0,33.0,48496.0,48113.0,48573.0,49043.0
0.3_0.8,48820.0,48494.0,49992.0,48547.0,59.0,351.0,49246.0,48640.0,48823.0,48605.0,48187.0,47997.0,48394.0,95.0,48833.0
0.3_0.9,48233.0,48665.0,48551.0,105.0,48923.0,50155.0,48073.0,49380.0,51.0,48690.0,50409.0,47612.0,48429.0,69.0,50581.0
0.4_0.1,301.0,301.0,85.0,99.0,55.0,481.0,177.0,195.0,205.0,219.0,357.0,159.0,179.0,117.0,153.0
0.4_0.2,127.0,37.0,105.0,77.0,81.0,541.0,407.0,379.0,403.0,389.0,211.0,141.0,137.0,127.0,177.0
0.4_0.3,305.0,127.0,71.0,73.0,131.0,391.0,387.0,519.0,445.0,485.0,319.0,149.0,151.0,177.0,169.0
