maze,wall_1_2_0.1_0.1,wall_2_2_0.2_0.2,wall_2_2_0.4_0.4,wall_2_2_0.6_0.6,wall_4_2_0.1_0.1,columns_1_2_0.1_0.1,columns_2_2_0.2_0.2,columns_2_2_0.4_0.4,columns_2_2_0.6_0.6,columns_4_2_0.1_0.1,board_1_2_0.1_0.1,board_2_2_0.2_0.2,board_2_2_0.4_0.4,board_2_2_0.6_0.6,board_4_2_0.1_0.1
0.1_0.1,17631.0,4013.0,5183.0,5129.0,5961.0,24502.0,10800.0,12922.0,22190.0,13756.0,29258.0,11898.0,10110.0,5394.0,4994.0
0.1_0.2,5511.0,9535.0,6911.0,5027.0,6171.0,19992.0,39828.0,25666.0,17104.0,14636.0,22696.0,30652.0,9350.0,8976.0,8370.0
0.1_0.3,8061.0,7325.0,5901.0,5361.0,3131.0,12658.0,12156.0,31422.0,35972.0,8690.0,17640.0,12266.0,3006.0,12320.0,3712.0
0.1_0.4,13873.0,9717.0,4785.0,4369.0,2137.0,26400.0,24554.0,12376.0,25552.0,23664.0,9760.0,27164.0,10882.0,10900.0,4286.0
0.1_0.5,14425.0,5347.0,6151.0,6319.0,6311.0,37378.0,16622.0,24248.0,14728.0,14190.0,23178.0,16552.0,28506.0,10902.0,11016.0
0.1_0.6,21871.0,46862.0,49054.0,47251.0,47921.0,9082.0,19766.0,28164.0,20326.0,47104.0,9476.0,9648.0,7652.0,7136.0,48305.0
0.1_0.7,14979.0,47292.0,47693.0,47920.0,48857.0,18242.0,13144.0,15050.0,16558.0,46884.0,11210.0,13150.0,7278.0,11208.0,47423.0
0.1_0.8,10771.0,49576.0,49673.0,49753.0,48725.0,29932.0,6304.0,23472.0,21278.0,46963.0,16578.0,17112.0,12238.0,7682.0,49423.0
0.1_0.9,48806.0,48807.0,46757.0,47276.0,48067.0,30554.0,25476.0,11578.0,47486.0,48510.0,26556.0,2270.0,8382.0,47323.0,49996.0
0.2_0.1,16291.0,10443.0,7155.0,5485.0,4451.0,16430.0,24560.0,17558.0,24580.0,10442.0,8114.0,8998.0,19668.0,7322.0,6480.0
