maze,wall_1_2_0.1_0.1,wall_2_2_0.2_0.2,wall_2_2_0.4_0.4,wall_2_2_0.6_0.6,wall_4_2_0.1_0.1,columns_1_2_0.1_0.1,columns_2_2_0.2_0.2,columns_2_2_0.4_0.4,columns_2_2_0.6_0.6,columns_4_2_0.1_0.1,board_1_2_0.1_0.1,board_2_2_0.2_0.2,board_2_2_0.4_0.4,board_2_2_0.6_0.6,board_4_2_0.1_0.1
0.1_0.1,46126.0,46578.0,47324.0,47208.0,33690.0,44840.0,42605.0,45054.0,45491.0,47680.0,22187.0,20933.0,44541.0,12197.0,30085.0
0.1_0.2,44140.0,46817.0,47624.0,47425.0,36504.0,45275.0,38798.0,44538.0,42230.0,42972.0,18757.0,44274.0,45796.0,46368.0,28421.0
0.1_0.3,46739.0,47661.0,47728.0,46833.0,39887.0,45565.0,45403.0,33774.0,45525.0,45798.0,25843.0,45060.0,44615.0,29435.0,22077.0
0.1_0.4,44273.0,47303.0,25184.0,47248.0,32672.0,46763.0,44987.0,46980.0,44984.0,47952.0,18955.0,39177.0,9471.0,21831.0,23559.0
0.1_0.5,44157.0,46714.0,33208.0,47735.0,39916.0,45636.0,45751.0,29882.0,46994.0,47801.0,4893.0,43053.0,45062.0,23517.0,33331.0
0.1_0.6,46940.0,46997.0,47571.0,47901.0,39109.0,45552.0,45078.0,45647.0,47378.0,47452.0,41689.0,24119.0,33267.0,43593.0,48148.0
0.1_0.7,44834.0,47974.0,47754.0,47588.0,39751.0,40088.0,45845.0,45671.0,47347.0,46835.0,23571.0,46196.0,27623.0,37893.0,47823.0
0.1_0.8,44285.0,47636.0,47101.0,45353.0,39672.0,45583.0,45870.0,46779.0,46581.0,48766.0,38257.0,18703.0,3651.0,34325.0,47612.0
0.1_0.9,47364.0,46864.0,49418.0,49333.0,40919.0,45267.0,45486.0,44300.0,47395.0,47455.0,44593.0,30125.0,14697.0,29917.0,49170.0
0.2_0.1,44204.0,47448.0,47163.0,47673.0,40049.0,46210.0,21454.0,45650.0,45663.0,48050.0,44192.0,44397.0,44730.0,45612.0,35241.0
0.2_0.2,45748.0,33436.0,47314.0,47327.0,40618.0,45213.0,44864.0,46308.0,45291.0,47673.0,44276.0,44716.0,43645.0,18839.0,33701.0
0.2_0.3,20496.0,47316.0,47055.0,47128.0,20880.0,47064.0,45078.0,45526.0,45928.0,47748.0,17589.0,40237.0,43884.0,17585.0,3965.0
0.2_0.4,45565.0,47255.0,42868.0,47545.0,18718.0,44801.0,16308.0,39122.0,24096.0,47647.0,45378.0,19353.0,38389.0,12747.0,3071.0
0.2_0.5,34184.0,47482.0,27492.0,17768.0,37380.0,45602.0,45340.0,44796.0,46287.0,37800.0,44062.0,44567.0,27759.0,47035.0,41529.0
0.2_0.6,44710.0,46487.0,47338.0,47671.0,41428.0,45711.0,45938.0,45396.0,45881.0,48085.0,35195.0,28971.0,22051.0,18115.0,50366.0
0.2_0.7,44709.0,47663.0,47918.0,46907.0,37982.0,46712.0,46024.0,45880.0,33050.0,47900.0,44324.0,33167.0,7827.0,28969.0,47747.0
0.2_0.8,46841.0,46855.0,48815.0,46926.0,38888.0,44917.0,46382.0,45538.0,11250.0,47978.0,15773.0,45001.0,46277.0,27155.0,49855.0
0.2_0.9,45505.0,47504.0,47400.0,47270.0,39847.0,45175.0,46664.0,45829.0,47599.0,48054.0,21549.0,39707.0,16923.0,21437.0,47341.0
0.3_0.1,43992.0,44188.0,46977.0,47499.0,38007.0,44728.0,46352.0,45939.0,46867.0,37450.0,28149.0,34267.0,11763.0,45823.0,41757.0
0.3_0.2,45406.0,47312.0,47485.0,47126.0,15450.0,47137.0,35068.0,46815.0,43060.0,42408.0,44194.0,24275.0,30303.0,15649.0,39247.0
0.3_0.3,45077.0,47004.0,38230.0,47370.0,24644.0,46302.0,45382.0,44942.0,45646.0,42980.0,5645.0,40491.0,44588.0,44479.0,17163.0
0.3_0.4,45602.0,47570.0,47526.0,47649.0,23764.0,44843.0,45400.0,45173.0,45351.0,48049.0,45164.0,45120.0,44520.0,45274.0,40055.0
0.3_0.5,44616.0,47363.0,43374.0,27476.0,13844.0,45223.0,46969.0,45886.0,45945.0,48026.0,44968.0,45111.0,45331.0,46368.0,5917.0
0.3_0.6,45127.0,15790.0,47980.0,46483.0,41240.0,46079.0,45741.0,46521.0,46904.0,47720.0,44614.0,45040.0,32561.0,37185.0,48552.0
0.3_0.7,45740.0,46763.0,49200.0,48816.0,40405.0,45750.0,46581.0,45641.0,46786.0,46904.0,41829.0,44913.0,45984.0,23819.0,47658.0
0.3_0.8,45904.0,46788.0,47309.0,48048.0,41720.0,44984.0,45962.0,45455.0,46895.0,47772.0,44750.0,45196.0,45928.0,34693.0,48049.0
0.3_0.9,46518.0,47220.0,49222.0,47300.0,38667.0,45861.0,46979.0,44694.0,45982.0,50197.0,45600.0,28323.0,45364.0,44125.0,46926.0
