maze,wall_1_2_0.1_0.1,wall_2_2_0.2_0.2,wall_2_2_0.4_0.4,wall_2_2_0.6_0.6,wall_4_2_0.1_0.1,columns_1_2_0.1_0.1,columns_2_2_0.2_0.2,columns_2_2_0.4_0.4,columns_2_2_0.6_0.6,columns_4_2_0.1_0.1,board_1_2_0.1_0.1,board_2_2_0.2_0.2,board_2_2_0.4_0.4,board_2_2_0.6_0.6,board_4_2_0.1_0.1
0.1_0.1,61.0,63.0,37.0,37.0,37.0,495.0,251.0,473.0,343.0,275.0,279.0,247.0,201.0,223.0,241.0
0.1_0.2,141.0,23.0,23.0,107.0,59.0,751.0,371.0,385.0,355.0,383.0,181.0,263.0,133.0,177.0,187.0
0.1_0.3,61.0,31.0,33.0,23.0,39.0,647.0,397.0,531.0,501.0,513.0,115.0,97.0,183.0,159.0,283.0
0.1_0.4,25.0,41.0,23.0,27.0,29.0,727.0,391.0,401.0,539.0,387.0,629.0,125.0,117.0,129.0,191.0
0.1_0.5,57.0,35.0,35.0,23.0,73.0,879.0,313.0,209.0,259.0,233.0,389.0,81.0,103.0,131.0,77.0
0.1_0.6,51050.0,48752.0,52881.0,23.0,127.0,785.0,50104.0,48219.0,49058.0,45350.0,427.0,81.0,79.0,105.0,181.0
0.1_0.7,51736.0,48837.0,49503.0,23.0,23.0,487.0,51605.0,48200.0,48876.0,48685.0,47885.0,101.0,227.0,191.0,52302.0
0.1_0.8,51366.0,48688.0,48868.0,23.0,50268.0,357.0,50795.0,49022.0,48652.0,44793.0,49809.0,303.0,437.0,113.0,129.0
0.1_0.9,47066.0,48772.0,23.0,23.0,23.0,50357.0,48439.0,48298.0,83.0,45113.0,491.0,235.0,941.0,99.0,193.0
0.2_0.1,35.0,45.0,89.0,61.0,45.0,605.0,201.0,237.0,251.0,239.0,555.0,179.0,289.0,231.0,235.0
0.2_0.2,31.0,33.0,23.0,23.0,51.0,629.0,383.0,493.0,365.0,361.0,201.0,355.0,299.0,289.0,123.0
0.2_0.3,23.0,31.0,51.0,35.0,53.0,451.0,411.0,609.0,515.0,381.0,667.0,123.0,229.0,281.0,127.0
0.2_0.4,33.0,23.0,39.0,23.0,99.0,569.0,291.0,237.0,265.0,455.0,369.0,93.0,165.0,127.0,131.0
0.2_0.5,33.0,41.0,51.0,45.0,33.0,485.0,435.0,223.0,283.0,237.0,167.0,131.0,135.0,115.0,63.0
0.2_0.6,47521.0,50077.0,47684.0,23.0,49694.0,433.0,50306.0,48629.0,48208.0,45625.0,241.0,93.0,145.0,107.0,75.0
0.2_0.7,23.0,23.0,23.0,23.0,48196.0,647.0,51157.0,48880.0,47387.0,47265.0,51.0,91.0,345.0,85.0,51.0
0.2_0.8,50079.0,50445.0,23.0,23.0,23.0,509.0,50422.0,48694.0,47128.0,44418.0,183.0,253.0,367.0,87.0,49969.0
0.2_0.9,25.0,48646.0,23.0,49.0,47485.0,49278.0,48694.0,47518.0,87.0,45540.0,145.0,81.0,747.0,527.0,207.0
0.3_0.1,61.0,53.0,65.0,47.0,53.0,389.0,261.0,231.0,231.0,289.0,397.0,197.0,237.0,251.0,233.0
0.3_0.2,37.0,109.0,61.0,23.0,29.0,429.0,535.0,369.0,391.0,367.0,373.0,293.0,245.0,319.0,317.0
0.3_0.3,89.0,23.0,23.0,23.0,35.0,601.0,533.0,513.0,377.0,507.0,317.0,201.0,163.0,349.0,269.0
0.3_0.4,27.0,25.0,41.0,23.0,27.0,323.0,435.0,399.0,499.0,407.0,159.0,127.0,215.0,117.0,115.0
0.3_0.5,51.0,23.0,33.0,49.0,29.0,291.0,351.0,267.0,285.0,227.0,581.0,75.0,121.0,151.0,71.0
0.3_0.6,49502.0,48969.0,49070.0,48642.0,23.0,371.0,48536.0,48033.0,48962.0,46303.0,345.0,267.0,147.0,113.0,115.0
0.3_0.7,47180.0,23.0,23.0,23.0,49651.0,543.0,47742.0,48922.0,48953.0,46420.0,241.0,209.0,453.0,85.0,217.0
0.3_0.8,47950.0,23.0,48768.0,23.0,25.0,549.0,49509.0,47852.0,48863.0,46104.0,103.0,371.0,975.0,85.0,109.0
0.3_0.9,23.0,23.0,23.0,23.0,23.0,50080.0,47386.0,47932.0,75.0,47517.0,50495.0,319.0,221.0,39.0,50464.0
0.4_0.1,27.0,43.0,37.0,35.0,27.0,465.0,275.0,225.0,207.0,207.0,477.0,167.0,367.0,175.0,469.0
0.4_0.2,53.0,23.0,49.0,35.0,63.0,441.0,261.0,355.0,377.0,297.0,815.0,207.0,145.0,157.0,167.0
0.4_0.3,23.0,103.0,23.0,23.0,53.0,349.0,571.0,503.0,391.0,373.0,447.0,253.0,179.0,183.0,143.0
0.4_0.4,27.0,23.0,23.0,43.0,37.0,609.0,421.0,295.0,407.0,439.0,243.0,175.0,159.0,351.0,121.0
0.4_0.5,33.0,23.0,23.0,23.0,73.0,497.0,371.0,259.0,299.0,235.0,421.0,97.0,141.0,107.0,169.0
0.4_0.6,23.0,48693.0,23.0,23.0,48765.0,687.0,49222.0,48491.0,48928.0,45824.0,153.0,89.0,267.0,109.0,273.0
0.4_0.7,47965.0,49894.0,48944.0,50902.0,48381.0,487.0,48287.0,48663.0,48898.0,49967.0,46868.0,139.0,309.0,85.0,59.0
0.4_0.8,48982.0,23.0,48413.0,23.0,52560.0,669.0,47831.0,48276.0,49023.0,48282.0,113.0,435.0,939.0,1069.0,48957.0
0.4_0.9,23.0,23.0,29.0,49.0,23.0,48222.0,47618.0,105.0,89.0,47890.0,151.0,991.0,48197.0,50101.0,257.0
0.5_0.1,57.0,83.0,87.0,23.0,35.0,487.0,359.0,473.0,299.0,251.0,673.0,261.0,185.0,163.0,497.0
0.5_0.2,23.0,23.0,41.0,23.0,53.0,641.0,393.0,485.0,381.0,455.0,433.0,209.0,167.0,375.0,199.0
0.5_0.3,55.0,49.0,23.0,29.0,67.0,511.0,421.0,501.0,589.0,385.0,811.0,181.0,157.0,257.0,169.0
